icon;domain;measure;spatial_scope;temporal_scope;entity_group;entity_key;var_name;ka;label_de;unit;comment;Formel
;heat_balance;heat_loss;district;winter;;;QV_mechvent_winter;3;Mechanische Lüftung;kWh/m²NGFa;;"(SUMMENPRODUKT(sim[is_heating_period]; sim[Qvmechvent_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_heating_period]; sim[Qvmechvent_c]) * NFAfrac_c) * -0,001"
;heat_balance;heat_recovery;district;winter;;;QV_heatrecovery_winter;3;ML Wärmerückgewinnung;kWh/m²NGFa;;"SUMMENPRODUKT(sim[is_heating_period]; sim[dT_uncooled]; sim[ACH_mechvent_u]-sim[ACH_mechvent_therm_u])*cp_air*per_NFA_uncooled * -0,001 * NFAfrac_u +
 SUMMENPRODUKT(sim[is_heating_period]; sim[dT_cooled];   sim[ACH_mechvent_c]-sim[ACH_mechvent_therm_c])*cp_air*per_NFA_cooled   * -0,001 * NFAfrac_c"
;heat_balance;heating_demand;district;winter;;;QH_min_winter;3;Heizwärmebedarf Statisch;kWh/m²NGFa;;"(SUMMENPRODUKT(sim[is_heating_period]; sim[Qh_to_room_uncooled_min]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_heating_period]; sim[Qh_to_room_cooled_min]) * NFAfrac_c) * 0,001"
;heat_balance;heating_demand;district;winter;;;QH_flex_winter;3;Heizwärmebedarf Flexibel;kWh/m²NGFa;;"(SUMMENPRODUKT(sim[is_heating_period]; sim[Qh_u]) * NFAfrac_u +
  SUMMENPRODUKT(sim[is_heating_period]; sim[Qh_c]) * NFAfrac_c) * 0,001 - QH_min_winter"
;heat_balance;cooling_demand;district;winter;;;QC_min_winter;3;Kühlbedarf Statisch;kWh/m²NGFa;;"(SUMMENPRODUKT(sim[is_heating_period]; sim[Qc_min_excl_losses]) * NFAfrac_c) * -0,001"
;heat_balance;cooling_demand;district;winter;;;QC_flex_winter;3;Kühlbedarf Flexibel;kWh/m²NGFa;;"(SUMMENPRODUKT(sim[is_heating_period]; sim[Qc_flex_excl_losses]) * NFAfrac_c) * -0,001"
;heat_balance;;district;winter;;;QH_flexshare_winter;3;Anteil Flexibler Heizung an Gesamtheizung;ratio;;"WENNFEHLER(QH_flex_winter/QH_winter;0)"
F;heat_balance;;district;winter;;;QC_flexshare_winter;3;Anteil Flexibler Kühlung an Gesamtkühlung;ratio;;"WENNFEHLER(QC_flex_winter/QC_winter;0)"
;heat_balance;heat_loss;district;summer;;;QT_summer;3;Transmissionswärmeverl.;kWh/m²NGFa;;"(SUMMENPRODUKT(sim[is_cooling_period]; sim[QT_u])*NFAfrac_u +
  SUMMENPRODUKT(sim[is_cooling_period]; sim[QT_c])*NFAfrac_c  ) * -0,001"
;heat_balance;heat_loss;district;summer;;;QV_summer;3;Lüftungswärmeverluste;kWh/m²NGFa;;QV_inf_summer + QV_window_summer + QV_mechvent_summer
