Icon;Name;Einheit;Kommentar;Type;var_name;ka;Default;Gründerzeit | Ausgangslage Gas;Gründerzeit | thermisch Saniert + Fernwärme;Gründerzeit | thermisch Saniert mit flexibler Wärmepumpe;Volksschule Neubau | Ökologisch;Wohnen Neubau 2.5 Geschosse | PEQ Deklaration;mg. Wohnbau 90er Sanierung | klimaneutrales PEQ Deklaration FW;Mischnutzung Neubau 7-stöckig | PEQ+M Deklaration;Südtiroler Quartier | Planung;Südtiroler Quartier | Ohne Tiefgarage;Südtiroler Quartier | PH;Südtiroler Quartier | PV x2;Südtiroler Quartier | Flexible HKLS mit WP;Südtiroler Quartier | Mob. Opt.;Südtiroler Quartier | Alle Maßnahmen;Südtiroler Quartier | Alle 150%PV;Südtiroler Quartier | Planung v2;Südtiroler Quartier | STB Zwischendecken;Südtiroler Quartier | test
📝;Projektname;;;Neu (default, nicht berechenbar);project_name;2;Neues Projekt;Gründerzeit;Gründerzeit;Gründerzeit;Volksschule Neubau;Wohnen Neubau 2.5 Geschosse;mg. Wohnbau 90er Sanierung;Mischnutzung Neubau 7-stöckig;Südtiroler Quartier;Südtiroler Quartier;Südtiroler Quartier;Südtiroler Quartier;Südtiroler Quartier;Südtiroler Quartier;Südtiroler Quartier;Südtiroler Quartier;Südtiroler Quartier;Südtiroler Quartier;Südtiroler Quartier
📝;ProjektURL;;;Neu (default, nicht berechenbar);project_url;2;Keine;0;0;https://www.wien.gv.at/spezial/studien/ma25/klimaneutralesalliiertenviertel2025.pdf;Keine Daten;https://www.iig.at/news/bezugsfertig-neue-wohnanlage-am-bichl-iii-in-igls/;https://ruginnovation.at/;https://www.klimaaktiv.at/pilzgasse-33;0;0;0;0;0;0;0;0;0;0;0
📝;Adresse;;;Neu (default, nicht berechenbar);location_address;2;Keine Daten;0;0;Wien, 2.;Wien;Innsbruck, Am Bichl;Wien, Rugierstraße;Wien, Pilzgasse;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg
📝;Gemeinde;;;Neu (default, nicht berechenbar);municipality_name;2;Wien-Donaustadt;Wien-Leopoldstadt;Wien-Leopoldstadt;Wien-Leopoldstadt;Wien-Floridsdorf;Innsbruck;Wien-Donaustadt;Wien-Floridsdorf;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg
📝;Erstellungsdatum;;;Neu (default, nicht berechenbar);project_creation_date;2;2025-10-09 00:00:00;00:00:00;00:00:00;2025-10-09 00:00:00;2025-10-09 00:00:00;2025-10-09 00:00:00;45939;45939;45881;45881;45881;45881;45881;45881;45881;45881;45881;45881;2025-08-12 00:00:00
📝;Projektbeschreibung;;;Neu (default, nicht berechenbar);project_description;2;Zweistöckiges Einfamilienhaus;Alliiertenviertel;Alliiertenviertel;Wen, Alliiertenviertel;Wettbewerb Schule;Das Projekt umfasst den Neubau von 50 Wohnungen in massiver Bauweise, verteilt auf fünf Gebäude, die von der Innsbrucker Immobiliengesellschaft (IIG) als Bauträger entwickelt werden. Die Architektur wird von he & du ZT KG gestaltet, mit für den ländlichen Raum vergleichsweise hoher bauliche Dichte (GFZ 0,75). Ziel ist die Schaffung eines Plus-Energie-Quartiers mit geringen Energiekosten. Ein innovatives Energiekonzept, das zentrale Luftwärmepumpen und dezentrale Booster-Wärmepumpen umfasst, unterstützt durch ein Mikronetz zur Heizung (und indirekten Temperierung im Sommer), 6 von 16 Auditbericht Wohnbebauung Am Bichl III gewährleistet eine effiziente Energieversorgung und Temperierung. Die Photovoltaik-Anlage an Dach, Fassade und Carports sorgt für einen hohe lokale erneuerbare Ertrag. 66 Stellplätze werden für die 50 Wohnungen bereitgestellt, wobei das Quartier intern autofrei gehalten wird.;Das Projekt umfasst die Sanierung von 90 Wohnungen auf einer Gesamtfläche von 9.760 m². Der Bauträger ÖSW setzt auf eine nachhaltige Bauweise mit nachwachsenden Rohstoffen für Dach und Keller, wodurch die Grauen Emissionen reduziert werden. Ein hybrides Energiekonzept kombiniert eine Grundwasserwärmepumpe zur Heizung und Kühlung mit Fernwärme zur Warmwasserbereitung. Drei zentrale Lüftungsanlagen mit Wärmerückgewinnung und Demand-Side-Management optimieren die Energieeffizienz. Die Gebäudehülle wird gedämmt, neue Fenster mit Sonnenschutz installiert. Photovoltaikmodule an Dach, Fassade, Vordach und Brüstung liefern erneuerbare Energie. Mit 59 Stellplätzen für 90 Wohnungen wird das Flächenangebot reduziert, während Leerrohrinstallationen für Ladestationen eingeplant sind. Die sozialwissenschaftliche Begleitung durch den Wohnbund sorgt für eine integrative Umsetzung.;Das Projekt umfasst den Neubau eines urbanen Quartiers mit gemischter Nutzung entsprechend Fachkonzept „produktive Stadt“ – Wohnraum, Büros, Handel und Kindergarten – und einer hohen baulichen Dichte (GFZ 4,6). Der Bauträger SÜBA AG und die Architekten von SOYKA/SILBER/SOYKA realisieren das Quartier mit dem Ziel, ein Plus-Energie-Quartier zu errichten. Ein umfassendes Energiekonzept mit zentralen Wärmepumpen, Bauteilaktivierung und einer 560-kWp-Photovoltaikanlage sichert eine effiziente und nachhaltige Energieversorgung. Überschüsse vor Ort sowie regionaler Überschuss durch z.B. Windkraft werden durch thermische Speicher und Batterien genutzt. Für die Mobilität wird ausreichend Ladeinfrastruktur, und damit eine zukunftsorientierte Fortbewegung ermöglicht.;0;0;0;0;0;0;0;0;0;0;0
📝;Variante / Scenario;;;Neu (aus alt Berechenbar);project_scenario_name;2;Ausgangsvariante;Ausgangslage Gas;Ausgangslage Gas;thermisch Saniert mit flexibler Wärmepumpe;Ökologisch;PEQ Deklaration;klimaneutrales PEQ Deklaration FW;PEQ+M Deklaration;Planung;Ohne Tiefgarage;PH;PV x2;Flexible HKLS mit WP;Mob. Opt.;Alle Maßnahmen;Alle 150%PV;Planung v2;STB Zwischendecken;test
📝;Postleitzahl;;;Neu (default, nicht berechenbar);location_postcode;2;Keine Daten;Keine Daten;Keine Daten;Keine Daten;Keine Daten;Keine Daten;Keine Daten;Keine Daten;Keine Daten;Keine Daten;Keine Daten;Keine Daten;Keine Daten;Keine Daten;Keine Daten;Keine Daten;Keine Daten;Keine Daten;Keine Daten
📝;Mobilitätsverfahren;;;;mobility_mode;1;Detailliert (k:a Mobilitätstool);Vereinfacht;Detailliert (k:a Mobilitätstool);Detailliert (k:a Mobilitätstool);Detailliert (k:a Mobilitätstool);Vereinfacht;Detailliert (k:a Mobilitätstool);Vereinfacht;Detailliert (k:a Mobilitätstool);Detailliert (k:a Mobilitätstool);Detailliert (k:a Mobilitätstool);Detailliert (k:a Mobilitätstool);Detailliert (k:a Mobilitätstool);Detailliert (k:a Mobilitätstool);Detailliert (k:a Mobilitätstool);Detailliert (k:a Mobilitätstool);Vereinfacht;Detailliert (k:a Mobilitätstool);Vereinfacht
🌦️;Wetterdatensatz Name;;;Neu (aus alt Berechenbar);weather_name;2;Hohe Warte 2010;Wien 2020;Wien 2020;Wien 2050;Hohe Warte 2010;Innsbruck 2020;Wien 2020;Hohe Warte 2010;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg;Salzburg
