ID;Kategorie;Name;Bereich;var_name;Einheit;Label;Kommentar;Default;Gründerzeit | Ausgangslage Gas;Gründerzeit | thermisch Saniert + Fernwärme;Gründerzeit | thermisch Saniert mit flexibler Wärmepumpe;Volksschule Neubau | Ökologisch;Wohnen Neubau 2.5 Geschosse | PEQ Deklaration;mg. Wohnbau 90er Sanierung | klimaneutrales PEQ Deklaration FW;Mischnutzung Neubau 7-stöckig | PEQ+M Deklaration;Südtiroler Quartier | Planung;Südtiroler Quartier | Ohne Tiefgarage;Südtiroler Quartier | PH;Südtiroler Quartier | PV x2;Südtiroler Quartier | Flexible HKLS mit WP;Südtiroler Quartier | Mob. Opt.;Südtiroler Quartier | Alle Maßnahmen;Südtiroler Quartier | Alle 150%PV;Südtiroler Quartier | Planung v2;Südtiroler Quartier | STB Zwischendecken;Südtiroler Quartier | test
;Nutzenergiebedarfe;Nutzerstrom;Quartier;UED_plugloads;kWh/m²NGFa;;;26.68718404994566;20.52860311534278;20.52860311534278;26.134507014159578;2.6299999999991677;20.52860311534274;20.52860311534283;21.057861728506705;20.639931006791514;20.639931006791514;20.639931006791514;26.004794096382145;20.63993100679131;20.639931006791514;20.63993100679126;20.63993100679112;20.639931006791144;20.639931006791514;20.639931006791144
;Nutzenergiebedarfe;Beleuchtung;Quartier;UED_lighting;kWh/m²NGFa;;;0;0.9889546905126037;0.9889546905126037;0.9983800390045036;11.899131648317782;0;0;6.473484871395848;0.5279393902973325;0.5279393902973325;0.5279393902973325;0.9889546905126037;0.5279393902973325;0.5279393902973325;0.5279393902973325;0.5279393902973325;0.5279393902973325;0.5279393902973325;0.5279393902973325
;Nutzenergiebedarfe;Allgemeinstrom;Quartier;UED_auxiliary;kWh/m²NGFa;;;1.7520000000002613;1.7520000000002613;1.7520000000002613;1.7520000000002613;0.8760000000001307;1.7520000000002613;1.7520000000002613;1.7317928609804005;1.7407227172035082;1.7407227172035082;1.7407227172035082;1.7520000000002613;1.7407227172035082;1.7407227172035082;1.7407227172035082;1.7407227172035082;1.7407227172035082;1.7407227172035082;1.7407227172035082
;Nutzenergiebedarfe;Heiwärmebedarf;Quartier;UED_heating;kWh/m²NGFa;;;50.08405797849799;50.31603522149478;50.31603522149478;36.05911069703554;17.807196369802426;9.761590631969847;33.56355516483513;13.977617190906354;27.283621574874385;27.283621574874385;13.51047338837219;127.92774234393957;30.505699467750606;27.283621574874385;12.918531152034396;12.746361018871497;27.281101227567458;27.283621574874385;27.281101227567458
;Nutzenergiebedarfe;Külenergiebedarf;Quartier;UED_cooling;kWh/m²NGFa;;;0;0;0;2.1240181731847447;18.46374503777268;19.979299496316145;10.181101163707652;10.455444706378247;4.682598909180451;4.682598909180451;4.859202810413567;0;5.784323310267191;4.682598909180451;6.014438272536393;5.380753717215052;4.358919963897129;4.682598909180451;4.358919963897129
;Nutzenergiebedarfe;WWWB;Quartier;UED_dhw;kWh/m²NGFa;;;15.974999999998417;15.123184130044363;15.123184130044363;11.861028522041149;3.3599999999999492;15.974999999998897;15.974999999998754;10.047536515846241;15.573808514125632;15.573808514125632;15.573808514125632;6.640488108379614;15.573808514125632;15.573808514125632;15.573808514125632;12.517119497811867;12.517119497811867;15.573808514125632;12.517119497811867
;Nutzenergiebedarfe;Lüftungsenergiebedarf;Quartier;UED_ventilation;kWh/m²NGFa;;;3.9990869664458186;3.9990869664458186;3.9990869664458186;3.975609651810182;3.9999999999999476;2.9993152248343313;1.9995434832229324;5.586973642362351;2.1925996341358536;2.1925996341358536;4.105583234389079;3.975609651810159;2.192599634135918;2.1925996341358536;4.105583234389318;4.1055832343892;2.1925996341359784;2.1925996341358536;2.1925996341359784
;Nutzenergiebedarfe;E-Mobilität;Quartier;UED_mim_electric;kWh/m²NGFa;;;12.246043510191846;1.0506359527665292;1.0506359527665292;18.22127621733098;21.446429381896095;0;12.245314999409139;36.034470076904235;15.21343135406977;15.21343135406977;15.21343135406977;0.9154175176637969;15.21343135406977;14.312287947791667;14.312287947791667;14.312287947791667;12.562711272786768;15.21343135406977;12.562711272786768
;Nutzenergiebedarfe;Fossile Mobilität;Quartier;UED_mim_fossile;kWh/m²NGFa;;;12.348201438848923;36.5070548021699;36.5070548021699;14.281471238639588;9.26856;0;12.348201438848921;18.25218478768916;13.88088280171792;13.88088280171792;13.88088280171792;45.224658922358685;13.88088280171792;10.156743513452135;10.156743513452135;10.156743513452135;11.462339263079532;13.88088280171792;11.462339263079532
;Wärmebilanz;Transmissionswärmeverl.;Quartier;QT;kWh/m²NGFa;🧱 Transmissionswärmeverl.;;94.77166703653687;94.91036541512878;94.91036541512878;46.58564767648191;35.87547912102633;40.079509817492884;49.482138388765144;32.55352980748427;50.16889067659136;50.16889067659136;47.84062100626168;151.1432828291743;51.27003014885554;50.16889067659136;51.769213850905295;52.01708134777421;50.39375139946317;50.16889067659136;50.39375139946317
;Wärmebilanz;Lüftungswärmeverluste;Quartier;QV;kWh/m²NGFa;💨 Lüftungswärmeverluste;;62.221201779747176;62.31448064415212;62.31448064415212;48.230887721286216;25.00711514585646;11.656266628156082;30.39316242863056;34.04593245851314;40.476316835061155;40.476316835061155;43.277327900006156;46.28885734216248;41.42520605669873;40.476316835061155;37.451511494744594;37.723007847102956;40.63046413723522;40.476316835061155;40.63046413723522
