icon;domain;measure;spatial_scope;temporal_scope;var_name;ka;label_de;unit
;heat_balance;Wärmebilanz;Kühlperiode;Kühlperiode;QC_summer;;Kühlbedarf (KB);kWh/m²NGFa
;heat_balance;Wärmebilanz;Kühlperiode;Kühlperiode;QT_wall_summer;;Transmission AW;kWh/m²NGFa
;heat_balance;Wärmebilanz;Kühlperiode;Kühlperiode;QT_roof_summer;;Transmission Dach;kWh/m²NGFa
;heat_balance;Wärmebilanz;Kühlperiode;Kühlperiode;QT_ground_summer;;Transmission KD/EFB;kWh/m²NGFa
;heat_balance;Wärmebilanz;Kühlperiode;Kühlperiode;QT_window_summer;;Transmission Fenster;kWh/m²NGFa
;heat_balance;Wärmebilanz;Kühlperiode;Kühlperiode;QT_psi_summer;;Transmission Wärmebrücken;kWh/m²NGFa
;heat_balance;Wärmebilanz;Kühlperiode;Kühlperiode;QV_inf_summer;;Infiltration;kWh/m²NGFa
;heat_balance;Wärmebilanz;Kühlperiode;Kühlperiode;QV_window_summer;;Lüftung Fenster;kWh/m²NGFa
;heat_balance;Wärmebilanz;Kühlperiode;Kühlperiode;QV_mechvent_summer;;Mechanische Lüftung;kWh/m²NGFa
;heat_balance;Wärmebilanz;Kühlperiode;Kühlperiode;QV_heatrecovery_summer;;ML Wärmerückgewinnung 2;kWh/m²NGFa
;heat_balance;Wärmebilanz;Kühlperiode;Kühlperiode;QH_min_summer;;Heizwärmebedarf Statisch;kWh/m²NGFa
;heat_balance;Wärmebilanz;Kühlperiode;Kühlperiode;QH_flex_summer;;Heizwärmebedarf Flexibel;kWh/m²NGFa
;heat_balance;Wärmebilanz;Kühlperiode;Kühlperiode;QC_min_summer;;Kühlbedarf Statisch;kWh/m²NGFa
;heat_balance;Wärmebilanz;Kühlperiode;Kühlperiode;QC_flex_summer;;Kühlbedarf Flexibel;kWh/m²NGFa
;heat_balance;Wärmebilanz;Heizperiode;Kühlperiode;QH_flexshare_summer;;Anteil Flexibler Heizung an Gesamtheizung;
;heat_balance;Wärmebilanz;Heizperiode;Kühlperiode;QC_flexshare_summer;;Anteil Flexibler Kühlung an Gesamtkühlung;
☑;heat_balance;Wärmebilanz;Test;;test_heat_balance;;Wärmebilanz;True
