icon;domain;measure;spatial_scope;temporal_scope;entity_group;entity_key;var_name;ka;label_de;unit
;energy_dispatch;natural_gas_use;;static;energy_use;heating_demand;EUIh_natural_gas;3;Gas;kWh/m²NGFa
;energy_dispatch;natural_gas_use;;static;energy_use;dhw_demand;EUIdhw_natural_gas;3;Gas;kWh/m²NGFa
;energy_dispatch;natural_gas_use;district;static;;;EUI_natural_gas;3;Gas;kWh/m²NGFa
;energy_dispatch;biomass_use;;static;energy_use;heating_demand;EUIh_biomass;3;Biomasse;kWh/m²NGFa
;energy_dispatch;biomass_use;;static;energy_use;dhw_demand;EUIdhw_biomass;3;Biomasse;kWh/m²NGFa
;energy_dispatch;biomass_use;district;static;;;EUI_biomass;3;Biomasse;kWh/m²NGFa
;energy_dispatch;other_use;;static;energy_use;heating_demand;EUIh_other;3;Sonstige;kWh/m²NGFa
;energy_dispatch;other_use;;static;energy_use;cooling_demand;EUIc_other;3;Sonstige;kWh/m²NGFa
;energy_dispatch;other_use;;static;energy_use;dhw_demand;EUIdhw_other;3;Sonstige;kWh/m²NGFa
;energy_dispatch;other_use;district;static;;;EUI_other;3;Sonstige;kWh/m²NGFa
;energy_dispatch;fossile_use;;static;;;EUI_mob_fossil;3;MIV Fossil;kWh/m²NGFa
;energy_dispatch;thermal_energy;;static;heating;system_2;EUIh_2th;3;Heizen 2;kWh/m²NGFa
;energy_dispatch;thermal_energy;;static;heating;system_4;EUIh_4th;3;Heizen 4;kWh/m²NGFa
;energy_dispatch;thermal_energy;;static;cooling;system_2;EUIc_2th;3;Kühlen 2;kWh/m²NGFa
;energy_dispatch;thermal_energy;;static;dhw;system_1;EUIdhw_1th;3;WWWB1;kWh/m²NGFa
;energy_dispatch;thermal_energy;;static;dhw;system_2;EUIdhw_2th;3;WWWB2;kWh/m²NGFa
;final_energy;;Elektrisch;Quartier;;;Grid_total_flexandnotflex;3;Netzstrom insg. (Flexibel und Inflexibel);kWh/m²NGFa
;;PE-Bilanz;;;;;context_factor_density;3;Kontextfaktor bauliche Dichte;kWhPEges./m²NGFa
;primray_energy;PE-Bilanz;;;;;context_factor_mobility;3;Kontextfaktor Mobilität;kWhPEges./m²NGFa
;primray_energy;PE-Bilanz;;;;;context_factor_renovation;3;Kontextfaktor Sanierung;kWhPEges./m²NGFa
;primary_energy_balance;demand;;annual;operation;;PEI_demand;3;Betriebsenergie;kWhPEges./m²NGFa
;primary_energy_balance;demand;;annual;plugloads;electricity;PEI_el_plugloads;3;Nutzerstrom;kWhPEges./m²NGFa
;primary_energy_balance;demand;;annual;hvac;electricity;PEI_el_hvac;3;HKLS Strom;kWhPEges./m²NGFa
;primary_energy_balance;demand;;annual;hvac;district_heating;PEI_district_heating;3;HKLS Fernwärme;kWhPEges./m²NGFa
;primary_energy_balance;demand;;annual;hvac;natural_gas;PEI_natural_gas;3;HKLS Erdgas;kWhPEges./m²NGFa
;primary_energy_balance;demand;;annual;hvac;biomass;PEI_biomass;3;HKLS Biomasse;kWhPEges./m²NGFa
;primary_energy_balance;demand;;annual;hvac;other;PEI_other;3;HKLS Sonstige;kWhPEges./m²NGFa
;primary_energy_balance;demand;;annual;mobility;;PEI_mob_total;3;Mobilität (MIV);kWhPEges./m²NGFa
;primary_energy_balance;demand;;annual;mobility;fossile;PEI_mob_fossile;3;MIV Fossil;kWhPEges./m²NGFa
;primary_energy_balance;demand;;annual;mobility;electricity;PEI_mob_el;3;MIV Elektrisch;kWhPEges./m²NGFa
;primary_energy_balance;demand;;annual;storage;;PEI_storage_losses;3;Speicher-Verluste;kWhPEges./m²NGFa
;primary_energy_balance;supply;;annual;context_factor;density;PEI_cf_density;3;Kontext bauliche Dichte;kWhPEges./m²NGFa
;primary_energy_balance;supply;;annual;context_factor;mobility;PEI_cf_mobility;3;Kontext Mobilität;kWhPEges./m²NGFa
;primary_energy_balance;supply;;annual;context_factor;renovation;PEI_cf_renovation;3;Kontext Sanierung;kWhPEges./m²NGFa
;primary_energy_balance;supply;;annual;;;PEI_sub_PV;3;Lokale Erneuerbare (Netzstrom Substitutionsäquivalent);kWhPEges./m²NGFa
;primary_energy_balance;supply;;annual;;;PEI_sub_flex;3;Energieflexibilität (Netzstrom Substitutionsäquivalent);kWhPEges./m²NGFa
;primary_energy_balance;balance;;annual;;;PEI_balance;3;PE-Bilanz Netzäquivalent;kWhPEges./m²NGFa
;pe_import_export_balance;;import;;;;PEI_grid_import;3;Netzbezug;kWhPEges./m²NGFa
;pe_import_export_balance;;import;;;;PEI_flex_import;3;Flexibler Bezug;kWhPEges./m²NGFa
;pe_import_export_balance;;import;;;;PEI_evExtCharge_import;3;EV Externe Beladung;kWhPEges./m²NGFa
;pe_import_export_balance;;import;;;;PEI_import;3;Primärenergie-Import;kWhPEges./m²NGFa
;pe_import_export_balance;;export;;;;PEI_pv_export;3;PV Netzeinspeisung PE;kWhPEges./m²NGFa
;pe_import_export_balance;;export;;;;PEI_evOtherTravel_export;3;EV Other Travels;
;pe_import_export_balance;;export;;;;PEI_export;3;Primärenergie-Export;kWhPEges./m²NGFa
