var_name;Domain;Measure;Unit;Formula
QSsummer;Passive Gewinne/Verluste;🌞 Solare Gewinne;Wh;=SUMPRODUCT(sim[@[Irr_nord]:[Irr_horizontal]],apertures_summer)
QS_u_unshaded;Passive Gewinne/Verluste;🌞 Solare Gewinne;Wh/m²uncooled;=([@[percent_winter]]*[@QSwinter]+(1-[@[percent_winter]])*[@QSsummer])*per_NFA*(NFAfrac_u>0)
QS_c_unshaded;Passive Gewinne/Verluste;🌞 Solare Gewinne;Wh/m²cooled;=([@[percent_winter]]*[@QSwinter]+(1-[@[percent_winter]])*[@QSsummer])*per_NFA*(NFAfrac_c>0)
QS_u;Passive Gewinne/Verluste;🌞 Solare Gewinne;Wh/m²uncooled;=[@[QS_u_unshaded]]*(1-(1-mob_shading_factor_u)*AND([@[is_cooling_period]],QS_max_shading_u<[@[QS_u_unshaded]]))
QS_c;Passive Gewinne/Verluste;🌞 Solare Gewinne;Wh/m²cooled;=[@[QS_c_unshaded]]*(1-(1-mob_shading_factor_c)*AND([@[is_cooling_period]],QS_max_shading_c<[@[QS_c_unshaded]]))
Spalte9;Passive Gewinne/Verluste;🌞 Solare Gewinne;;
QS;Passive Gewinne/Verluste;🌞 Solare Gewinne;Wh/m²NFA;=([@[percent_winter]]*[@QSwinter]+(1-[@[percent_winter]])*[@QSsummer])*per_NFA
QI_residential;Passive Gewinne/Verluste;👤Innere Lasten;Wh/m²;=(usage_concurrency_winter_residential*[@[percent_winter]]*Nutzung_Wohnen[@[Innere Wärmen Min]]+usage_concurrency_summer_residential*(1-[@[percent_winter]])*Nutzung_Wohnen[@[Innere Wärmen Max]])
QI_office;Passive Gewinne/Verluste;👤Innere Lasten;Wh/m²;=(usage_concurrency_winter_office*[@[percent_winter]]*Nutzung_Büro[@[Innere Wärmen Min]]+usage_concurrency_summer_office*(1-[@[percent_winter]])*Nutzung_Büro[@[Innere Wärmen Max]])
QI_edusec;Passive Gewinne/Verluste;👤Innere Lasten;Wh/m²;=(usage_concurrency_winter_schoolsec*[@[percent_winter]]*Nutzung_Schule[@[Innere Wärmen Min]]+usage_concurrency_summer_schoolsec*(1-[@[percent_winter]])*Nutzung_Schule[@[Innere Wärmen Max]])
QI_eduprim;Passive Gewinne/Verluste;👤Innere Lasten;Wh/m²;=(usage_concurrency_winter_schoolprim*[@[percent_winter]]*Nutzung_KIGA[@[Innere Wärmen Min]]+usage_concurrency_summer_schoolprim*(1-[@[percent_winter]])*Nutzung_KIGA[@[Innere Wärmen Max]])
QI_retfood;Passive Gewinne/Verluste;👤Innere Lasten;Wh/m²;=(usage_concurrency_winter_retailfood*[@[percent_winter]]*Nutzung_Handel_Food[@[Innere Wärmen Winter]]+usage_concurrency_summer_retailfood*(1-[@[percent_winter]])*Nutzung_Handel_Food[@[Innere Wärmen Sommer]])
QI_retail;Passive Gewinne/Verluste;👤Innere Lasten;Wh/m²;=(usage_concurrency_winter_retailother*[@[percent_winter]]*Nutzung_Handel_NonFood[@[Innere Wärmen Winter]]+usage_concurrency_summer_retailother*(1-[@[percent_winter]])*Nutzung_Handel_NonFood[@[Innere Wärmen Sommer]])
QI_otherusage;Passive Gewinne/Verluste;👤Innere Lasten;Wh/m²;=(usage_concurrency_winter_other*[@[percent_winter]]*Nutzung_Handel_NonFood[@[Innere Wärmen Winter]]+usage_concurrency_summer_other*(1-[@[percent_winter]])*Nutzung_Handel_NonFood[@[Innere Wärmen Sommer]])
QI_u;Passive Gewinne/Verluste;👤Innere Lasten;Wh/m²uncooled;=SUMPRODUCT(sim[@[QI_residential]:[QI_otherusage]],cool_passive_shares_T,NFA_shares_T)*NFA_total*per_NFA_uncooled
QI_c;Passive Gewinne/Verluste;👤Innere Lasten;Wh/m²cooled;=SUMPRODUCT(sim[@[QI_residential]:[QI_otherusage]],cool_active_shares_T,NFA_shares_T)*NFA_total*per_NFA_cooled
Ti_passive_uncooled;Passive Gewinne/Verluste;🌡;°C;=[@Ti0uncooled]+([@[Qvinf_u]]+[@[Qvmechvent_u]]+[@[Qvwindow_u]]+[@[QT_u]]+[@[QS_u]]+[@[QI_u]])/heat_capacity_effective_m2
Ti_passive_cooled;Passive Gewinne/Verluste;🌡;°C;=[@Ti0cooled]+([@[Qvinf_c]]+[@[Qvmechvent_c]]+[@[Qvwindow_c]]+[@[QT_c]]+[@[QS_c]]+[@[QI_c]])/heat_capacity_effective_m2
dT_heating_uncooled_min;Nutzenergie Bedarfe;Temperatur-Differenz;;=MAX(0,IFNA(Tsetheat_min-[@[Ti_passive_uncooled]],0))
dT_heating_cooled_min;;Temperatur-Differenz;;=MAX(0,IFNA(Tsetheat_min-[@[Ti_passive_cooled]],0))
dT_heating_uncooled_max;;Temperatur-Differenz;;=MAX(0,IFNA(Tsetheat_flex-[@[Ti_passive_uncooled]],0))
dT_heating_cooled_max;;Temperatur-Differenz;;=MAX(0,IFNA(Tsetheat_flex-[@[Ti_passive_cooled]],0))
Qh_to_room_uncooled_min;Heizwärmebedarf;Wärmebereitstellung;Wh/m²uncooled;=MIN(QHmax_room_m2,[@[is_heating_period]]*([@[dT_heating_uncooled_min]]*heat_cap_eff_uncooled_m2))
Qh_to_room_cooled_min;Heizwärmebedarf;Wärmebereitstellung;Wh/m²cooled;=MIN(QHmax_room_m2,[@[is_heating_period]]*([@[dT_heating_cooled_min]]*heat_cap_eff_cooled_m2))
Qh_to_room_uncooled_max;Heizwärmebedarf;Wärmebereitstellung;Wh/m²uncooled;=MIN(QHmax_room_m2,AND([@[is_heating_period]],NOT([@[is_cooling_period]]))*([@[dT_heating_uncooled_max]]*heat_cap_eff_uncooled_m2))
Qh_to_room_cooled_max;Heizwärmebedarf;Wärmebereitstellung;Wh/m²cooled;=MIN(QHmax_room_m2,AND([@[is_heating_period]],NOT([@[is_cooling_period]]))*([@[dT_heating_cooled_max]]*heat_cap_eff_cooled_m2))
