var_name;Domain;Measure;Unit;Formula
Eh_min_wasteheat;Strom Mindestbedarfe;Heizen Minimum;Wh_el/m²;=(QH_aux_wasteheat)*[@[Qh_min_wasteheat]]
Eh_min_1el;Strom Mindestbedarfe;Heizen Minimum;Wh_el/m²;=(QH_generation_eff_1el+QH_aux_el_to_th_1el)*[@[Qh_min_1el]]*(1+QH_distr_loss_1el)
Eh_min_2th;Strom Mindestbedarfe;Heizen Minimum;Wh_el/m²;=QH_aux_el_to_th_2th*[@[Qh_min_2th]]*(1+QH_distr_loss_2th)
Eh_min_3el;Strom Mindestbedarfe;Heizen Minimum;Wh_el/m²;=(QH_generation_eff_3el+QH_aux_el_to_th_3el)*[@[Qh_min_3el]]*(1+QH_distr_loss_3el)
Eh_min_4th;Strom Mindestbedarfe;Heizen Minimum;Wh_el/m²;=QH_aux_el_to_th_4th*[@[Qh_min_4th]]*(1+QH_distr_loss_4th)
Eh_min;Strom Mindestbedarfe;Heizen Minimum;Wh_el/m²;=SUM(sim[@[Eh_min_wasteheat]:[Eh_min_4th]])
Ec_min_freecooling;Strom Mindestbedarfe;Kühlen Minimum;Wh_el/m²;=[@[Qc_min_0fc]]*QC_aux_fc
Ec_min_1el;Strom Mindestbedarfe;Kühlen Minimum;Wh_el/m²;=$I$4*[@[Qc_min_1el]]*(1+QC_distr_losses_1el)*(QC_to_EC_1+QC_aux_1el)
Ec_min_2th;Strom Mindestbedarfe;Kühlen Minimum;Wh_el/m²;=$I$4*[@[Qc_min_2th]]*(1+QC_distr_losses_2th)*(QC_aux_2th)
Ec_min_3el;Strom Mindestbedarfe;Kühlen Minimum;Wh_el/m²;=$I$4*[@[Qc_min_3el]]*(1+QC_distr_losses_3el)*(QC_to_EC_3+QC_aux_3el)
Ec_min;Strom Mindestbedarfe;Kühlen Minimum;Wh_el/m²;=SUM(sim[@[Ec_min_freecooling]:[Ec_min_3el]])
Ev_residential;Strom Mindestbedarfe;Lüftung Minimum;Wh_el/m²;=Ev_scale_residential*Nutzung_Wohnen[@[Lüfterstrom_W_m2]]*NFA_residential*per_NFA
Ev_office;Strom Mindestbedarfe;Lüftung Minimum;Wh_el/m²;=Ev_scale_office*Nutzung_Büro[@[Lüfterstrom_W_m2]]*NFA_office*per_NFA
Ev_edusec;Strom Mindestbedarfe;Lüftung Minimum;Wh_el/m²;=Ev_scale_school_sec*Nutzung_Schule[@[Lüfterstrom_W_m2]]*NFA_schoolsec*per_NFA
Ev_eduprim;Strom Mindestbedarfe;Lüftung Minimum;Wh_el/m²;=Ev_scale_school_prim*Nutzung_KIGA[@[Lüfterstrom_W_m2]]*NFA_schoolprim*per_NFA
Ev_retfood;Strom Mindestbedarfe;Lüftung Minimum;Wh_el/m²;=Ev_scale_retail_food*Nutzung_Handel_Food[@[Lüfterstrom_W_m2]]*NFA_retailfood*per_NFA
Ev_retail;Strom Mindestbedarfe;Lüftung Minimum;Wh_el/m²;=Ev_scale_retail_other*Nutzung_Handel_NonFood[@[Lüfterstrom_W_m2]]*NFA_retailother*per_NFA
Ev_otherusage;Strom Mindestbedarfe;Lüftung Minimum;Wh_el/m²;0
Ev_min;Strom Mindestbedarfe;Lüftung Minimum;Wh_el/m²;=SUM(sim[@[Ev_residential]:[Ev_otherusage]])
Eaux;Strom Mindestbedarfe;Aux;Wh_el/m²;=Nutzungsprofil[@[Aufzug, Regelung etc._W_m2]]
Elight_office;Strom Mindestbedarfe;💡Beleuchtung;Wh_el/m²office;=lighting_factor_office*IF(Nutzung_Büro[@[Betriebszeit_-]]>0,1,0)*(Plight_min_office*(1-daylightcontr_office)+daylightcontr_office*IF([@[Irr_horizontal]]*100*Daylightcoefficient_office>illuminance_min_office,0,Plight_max_office))
Elight_schoolsec;Strom Mindestbedarfe;💡Beleuchtung;Wh_el/m²schoolsec;=lighting_factor_schoolsec*IF(Nutzung_Schule[@[Personen_Pers_m2]]>0,1,0)*(Plight_min_schoolsec*(1-daylightcontr_schoolsec)+daylightcontr_schoolsec*IF([@[Irr_horizontal]]*100*Daylightcoefficient_schoolsec>illuminance_min_schoolsec,0,Plight_max_schoolsec))
Elight_schoolprim;Strom Mindestbedarfe;💡Beleuchtung;Wh_el/m²schoolprim;=lighting_factor_schoolprim*IF(Nutzung_KIGA[@[Personen_Pers_m2]]>0,1,0)*(Plight_min_schoolprim*(1-daylightcontr_schoolprim)+daylightcontr_schoolprim*IF([@[Irr_horizontal]]*100*Daylightcoefficient_schoolprim>illuminance_min_schoolprim,0,Plight_max_schoolprim))
Elight;Strom Mindestbedarfe;💡Beleuchtung;Wh_el/m²;=per_NFA*([@[Elight_office]]*NFA_office+[@[Elight_schoolsec]]*NFA_schoolsec+[@[Elight_schoolprim]]*NFA_schoolprim+Nutzung_Handel_Food[@[Beleuchtung_W_m2]]*lighting_factor_retailfood*NFA_retailfood+Nutzung_Handel_NonFood[@[Beleuchtung_W_m2]]*lighting_factor_retailother*NFA_retailother)
Edhw_min;Strom Mindestbedarfe;WW Minimum;Wh_el/m²;=[@[Edhw_1_min_el]]+[@[Edhw_2_min_el]]
Ehvac_min;Strom Mindestbedarfe;HKLS Minimum;Wh_el/m²;=[@[Eh_min]]+[@[Ec_min]]+[@[Ev_min]]+[@[Edhw_min]]
E_plugAuxLight;Strom Mindestbedarfe;👤Nutzerstrom;Wh_el/m²;=Nutzungsprofil[@[Nutzerstrom_W_m2]]+[@Eaux]+[@Elight]
Eev_min;Strom Mindestbedarfe;E-Cars;Wh_el/m²;=[@[Eev_min_intake]]
Ed_min;Strom Mindestbedarfe;;Wh_el/m²;=[@[Ehvac_min]]+[@[E_plugAuxLight]]+[@[Eev_min]]
Space3;;;;
Eh_el1_flex_potential;FLEX Speicher Potential;Strom Flexibel Maximal zusätzlich;Wh/m²;=(QH_generation_eff_1el+QH_aux_el_to_th_1el)*[@[Qh_flex_1el_potential]]*(1+QH_distr_loss_1el)
Eh_el3_flex_potential;FLEX Speicher Potential;Strom Flexibel Maximal zusätzlich;Wh/m²;=(QH_generation_eff_3el+QH_aux_el_to_th_3el)*[@[Qh_flex_3el_potential]]*(1+QH_distr_loss_3el)
Ec_el1_flex_potential;FLEX Speicher Potential;Strom Flexibel Maximal zusätzlich;Wh/m²;=$I$4*[@[Qc_flex_1el]]*(1+QC_distr_losses_1el)*(QC_to_EC_1+QC_aux_1el)
Ec_el3_flex_potential;FLEX Speicher Potential;Strom Flexibel Maximal zusätzlich;Wh/m²;=$I$4*[@[Qc_flex_3el]]*(1+QC_distr_losses_3el)*(QC_to_EC_3+QC_aux_3el)
Edhw_1_flex_potential;FLEX Speicher Potential;Strom Flexibel Maximal zusätzlich;Wh/m²;=DHW_1_is_electric*[@[Qdhw_1_flexpotential]]*(DHW_1_el_aux+DHW_conversion_1)
Edhw_2_flex_potential;FLEX Speicher Potential;Strom Flexibel Maximal zusätzlich;Wh/m²;=DHW_2_is_electric*[@[Qdhw_2_flexpotential]]*(DHW_2_el_aux+DHW_conversion_2)
Eev_flex_potential;FLEX Speicher Potential;Strom Flexibel Maximal zusätzlich;Wh/m²;=[@[Eev_flex_intake]]
Ebatt_charge_potential;FLEX Speicher Potential;Strom Flexibel Maximal zusätzlich;Wh/m²;=IFERROR(Batt_is_used*MIN(Batt_max_power_specific,[@[Batt_max_energy_input]]/Batt_eff_factor_charge),0)
Etotal_flex_potential;FLEX Speicher Potential;Strom Flexibel Maximal zusätzlich;;=SUM(sim[@[Eh_el1_flex_potential]:[Ebatt_charge_potential]])
Space13;;;;
PV_yield;PV Nutzung;Ertrag;Wh/m²;=PV_is_used*PV_scale*PV_efficiency*pv_profiles[@[Gewählte Variante]]*1000*per_NFA
PV_to_user;PV Nutzung;Direktnutzung;Wh/m²;=MIN([@[PV_yield]],[@[E_plugAuxLight]])
PV_to_Eh_min;PV Nutzung;Direktnutzung;;=MIN([@[Eh_min]],[@[PV_yield]]-[@[PV_to_user]])
PV_to_Ec_min;PV Nutzung;Direktnutzung;;=MIN([@[Ec_min]],[@[PV_yield]]-SUM(sim[@[PV_to_user]:[PV_to_Eh_min]]))
PV_to_Edhw_min;PV Nutzung;Direktnutzung;;=MIN([@[Edhw_min]],[@[PV_yield]]-SUM(sim[@[PV_to_user]:[PV_to_Ec_min]]))
PV_to_Ev_min;PV Nutzung;Direktnutzung;;=MIN([@[Ev_min]],[@[PV_yield]]-SUM(sim[@[PV_to_user]:[PV_to_Edhw_min]]))
Valid_PV_direct_HVAC_use;PV Nutzung;Direktnutzung;;=IF(SUM(sim[@[PV_to_Eh_min]:[PV_to_Ev_min]])-[@[PV_to_HVAC_min]]<0.00000001,1,0)
PV_to_HVAC_min;PV Nutzung;Direktnutzung;Wh/m²;=MIN([@[PV_yield]]-[@[PV_to_user]],[@[Eh_min]]+[@[Ec_min]]+[@[Edhw_min]]+[@[Ev_min]])
PV_to_Eev_min;PV Nutzung;Direktnutzung;Wh/m²;=MIN([@[PV_yield]]-[@[PV_to_user]]-[@[PV_to_HVAC_min]],[@[Eev_min]])
PV_total_direct_use;PV Nutzung;Direktnutzung;Wh/m²;=[@[PV_to_user]]+[@[PV_to_HVAC_min]]+[@[PV_to_Eev_min]]
PV_surplus;PV Nutzung;Speicherbeladung;Wh/m²;=[@[PV_yield]]-[@[PV_total_direct_use]]
PV_to_Eh_flex_1el;PV Nutzung;Speicherbeladung;Wh/m²;=FLEX_PV_is_used*MIN([@[PV_surplus]],[@[Eh_el1_flex_potential]])
PV_to_Eh_flex_3el;PV Nutzung;Speicherbeladung;Wh/m²;=FLEX_PV_is_used*MIN([@[PV_surplus]],[@[Eh_el3_flex_potential]])
PV_to_Ec_flex_1el;PV Nutzung;Speicherbeladung;Wh/m²;=FLEX_PV_is_used*MIN([@[Ec_el1_flex_potential]],[@[PV_surplus]]-SUM(sim[@[PV_to_Eh_flex_1el]:[PV_to_Eh_flex_3el]]))
PV_to_Ec_flex_3el;PV Nutzung;Speicherbeladung;Wh/m²;=FLEX_PV_is_used*MIN([@[Ec_el3_flex_potential]],[@[PV_surplus]]-SUM(sim[@[PV_to_Eh_flex_1el]:[PV_to_Eh_flex_3el]]))
PV_to_Edhw1_flex;PV Nutzung;Speicherbeladung;Wh/m²;=FLEX_PV_is_used*MIN([@[Edhw_1_flex_potential]],[@[PV_surplus]]-SUM(sim[@[PV_to_Eh_flex_1el]:[PV_to_Ec_flex_3el]]))
PV_to_Edhw2_flex;PV Nutzung;Speicherbeladung;Wh/m²;=FLEX_PV_is_used*MIN([@[Edhw_2_flex_potential]],[@[PV_surplus]]-SUM(sim[@[PV_to_Eh_flex_1el]:[PV_to_Ec_flex_3el]]))
PV_to_Eev_flex;PV Nutzung;Speicherbeladung;Wh/m²;=FLEX_PV_is_used*MIN([@[Eev_flex_potential]],[@[PV_surplus]]-SUM(sim[@[PV_to_Eh_flex_1el]:[PV_to_Edhw2_flex]]))
PV_to_Batt;PV Nutzung;Speicherbeladung;Wh/m²;=FLEX_PV_is_used*Batt_is_used*MIN([@[Ebatt_charge_potential]],[@[PV_surplus]]-SUM(sim[@[PV_to_Eh_flex_1el]:[PV_to_Eev_flex]]))
PV_to_Storage;PV Nutzung;Speicherbeladung;Wh/m²;=FLEX_PV_is_used
PV_to_epatron;PV Nutzung;Speicherbeladung;Wh/m²;=FLEX_PV_is_used
PV_total_flex_use;PV Nutzung;Speicherbeladung;;=SUM(sim[@[PV_to_Eh_flex_1el]:[PV_to_epatron]])
PV_to_Egrid;PV Nutzung;Netzeinspeisung;Wh/m²;=[@[PV_surplus]]-SUM(sim[@[PV_to_Eh_flex_1el]:[PV_to_epatron]])
Batt_discharge_potential;Batterie Nutzung;🔋 Batterienutzung Mindestbedarfe;Wh/m²;=Batt_is_used*NOT(AND(Batt_is_not_used_during_signals,[@Signal]))*MIN(Batt_max_power_specific,[@[Batt_cap_after_losses]]*Batt_eff_factor_discharge)
Batt_to_user;Batterie Nutzung;🔋 Batterienutzung Mindestbedarfe;Wh/m²;=MIN(([@[E_plugAuxLight]]-[@[PV_to_user]]),[@[Batt_discharge_potential]])*Batt_is_used_for_plugloads
Batt_to_Eh_min;Batterie Nutzung;🔋 Batterienutzung Mindestbedarfe;;=MIN(([@[Eh_min]]-[@[PV_to_Eh_min]]),[@[Batt_discharge_potential]]-[@[Batt_to_user]])*Batt_is_used_for_HVACminimum
Batt_to_Ec_min;Batterie Nutzung;🔋 Batterienutzung Mindestbedarfe;;=MIN(([@[Ec_min]]-[@[PV_to_Ec_min]]),[@[Batt_discharge_potential]]-SUM(sim[@[Batt_to_user]:[Batt_to_Eh_min]]))*Batt_is_used_for_HVACminimum
Batt_to_Edhw_min;Batterie Nutzung;🔋 Batterienutzung Mindestbedarfe;;=MIN(([@[Edhw_min]]-[@[PV_to_Edhw_min]]),[@[Batt_discharge_potential]]-SUM(sim[@[Batt_to_user]:[Batt_to_Ec_min]]))*Batt_is_used_for_HVACminimum
Batt_to_Ev_min;Batterie Nutzung;🔋 Batterienutzung Mindestbedarfe;;=MIN(([@[Ev_min]]-[@[PV_to_Ev_min]]),[@[Batt_discharge_potential]]-SUM(sim[@[Batt_to_user]:[Batt_to_Edhw_min]]))*Batt_is_used_for_HVACminimum
Spalte192;Batterie Nutzung;🔋 Batterienutzung Mindestbedarfe;;
Batt_to_HVAC_min;Batterie Nutzung;🔋 Batterienutzung Mindestbedarfe;Wh/m²;=SUM(sim[@[Batt_to_Eh_min]:[Batt_to_Ev_min]])
Batt_to_Eev_min;Batterie Nutzung;🔋 Batterienutzung Mindestbedarfe;Wh/m²;=MIN(([@[Eev_min]]-[@[PV_to_Eev_min]]),[@[Batt_discharge_potential]]-[@[Batt_to_user]]-[@[Batt_to_HVAC_min]])*Batt_is_used_for_EV
Batt_total_discharge;Batterie Nutzung;🔋 Batterienutzung Mindestbedarfe;Wh/m²;=IFERROR(([@[Batt_to_user]]+[@[Batt_to_HVAC_min]]+[@[Batt_to_Eev_min]])/Batt_eff_factor_discharge,0)
Spalte19;;;;
Signal;;;;=INDEX(Signals,ROW()-ROW(Signals[#Headers]),flex_Signals_selected_column)
VRGrid_potential;Flexibler Netzbezug;Potential;Wh/m²;=FLEX_is_used*FLEX_grid_maxpower_Wm2*[@Signal]
VRGrid_to_user;Flexibler Netzbezug;Direktnutzung;Wh/m²;=FLEX_is_used_for_plugloads*MIN([@[VRGrid_potential]],[@[E_plugAuxLight]]-[@[PV_to_user]]-[@[Batt_to_user]])
VRGrid_to_Eh_min;Flexibler Netzbezug;Direktnutzung;;=FLEX_is_used_for_HVAC_min*MIN([@[Eh_min]]-[@[PV_to_Eh_min]]-[@[Batt_to_Eh_min]],[@[VRGrid_potential]]-[@[VRGrid_to_user]])
VRGrid_to_Ec_min;Flexibler Netzbezug;Direktnutzung;;=FLEX_is_used_for_HVAC_min*MIN([@[Ec_min]]-[@[PV_to_Ec_min]]-[@[Batt_to_Ec_min]],[@[VRGrid_potential]]-[@[VRGrid_to_user]]-[@[VRGrid_to_Eh_min]])
VRGrid_to_Edhw_min;Flexibler Netzbezug;Direktnutzung;;=FLEX_is_used_for_HVAC_min*MIN([@[Edhw_min]]-[@[PV_to_Edhw_min]]-[@[Batt_to_Edhw_min]],[@[VRGrid_potential]]-SUM(sim[@[VRGrid_to_user]:[VRGrid_to_Ec_min]]))
VRGrid_to_Ev_min;Flexibler Netzbezug;Direktnutzung;;=FLEX_is_used_for_HVAC_min*MIN([@[Ev_min]]-[@[PV_to_Ev_min]]-[@[Batt_to_Ev_min]],[@[VRGrid_potential]]-SUM(sim[@[VRGrid_to_user]:[VRGrid_to_Edhw_min]]))
VRGrid_to_HVAC_min;Flexibler Netzbezug;Direktnutzung;Wh/m²;=SUM(sim[@[VRGrid_to_Eh_min]:[VRGrid_to_Ev_min]])
VRGrid_to_Eev_min;Flexibler Netzbezug;Direktnutzung;Wh/m²;=FLEX_is_used_for_ev_min*MIN([@[VRGrid_potential]]-SUM(sim[@[VRGrid_to_user]:[VRGrid_to_Ev_min]]),[@[Eev_min]]-[@[PV_to_Eev_min]]-[@[Batt_to_Eev_min]])
VRGrid_total_min_use;Flexibler Netzbezug;Direktnutzung;Wh/m²;=[@[VRGrid_to_user]]+[@[VRGrid_to_HVAC_min]]+[@[VRGrid_to_Eev_min]]
VRGrid_to_Eh_flex_1el;Flexibler Netzbezug;Speicherbeladung;Wh/m²;=MIN([@[VRGrid_potential]]-[@[VRGrid_total_min_use]],[@[Eh_el1_flex_potential]]-[@[PV_to_Eh_flex_1el]])
VRGrid_to_Eh_flex_3el;Flexibler Netzbezug;Speicherbeladung;Wh/m²;=MIN([@[VRGrid_potential]]-[@[VRGrid_total_min_use]],[@[Eh_el3_flex_potential]]-[@[PV_to_Eh_flex_3el]])
VRGrid_to_Ec_flex_1el;Flexibler Netzbezug;Speicherbeladung;Wh/m²;=MIN([@[Ec_el1_flex_potential]]-[@[PV_to_Ec_flex_1el]],[@[VRGrid_potential]]-SUM(sim[@[VRGrid_total_min_use]:[VRGrid_to_Eh_flex_3el]]))
VRGrid_to_Ec_flex_3el;Flexibler Netzbezug;Speicherbeladung;Wh/m²;=MIN([@[Ec_el3_flex_potential]]-[@[PV_to_Ec_flex_3el]],[@[VRGrid_potential]]-SUM(sim[@[VRGrid_total_min_use]:[VRGrid_to_Eh_flex_3el]]))
VRGrid_to_Edhw1_flex;Flexibler Netzbezug;Speicherbeladung;Wh/m²;=MIN([@[Edhw_1_flex_potential]]-[@[PV_to_Edhw1_flex]],[@[VRGrid_potential]]-SUM(sim[@[VRGrid_total_min_use]:[VRGrid_to_Ec_flex_3el]]))
VRGrid_to_Edhw2_flex;Flexibler Netzbezug;Speicherbeladung;Wh/m²;=MIN([@[Edhw_2_flex_potential]]-[@[PV_to_Edhw2_flex]],[@[VRGrid_potential]]-SUM(sim[@[VRGrid_total_min_use]:[VRGrid_to_Ec_flex_3el]]))
VRGrid_to_HVAC_flex;Flexibler Netzbezug;Speicherbeladung;;=SUM(sim[@[VRGrid_to_Eh_flex_1el]:[VRGrid_to_Edhw2_flex]])
VRGrid_to_Eev_flex;Flexibler Netzbezug;Speicherbeladung;Wh/m²;=MIN([@[Eev_flex_potential]]-[@[PV_to_Eev_flex]],[@[VRGrid_potential]]-[@[VRGrid_total_min_use]]-[@[VRGrid_to_HVAC_flex]])
VRGrid_to_Batt;Flexibler Netzbezug;Speicherbeladung;Wh/m²;=Batt_is_gridcharged*MIN([@[Ebatt_charge_potential]]-[@[PV_to_Batt]],[@[VRGrid_potential]]-[@[VRGrid_total_min_use]]-[@[VRGrid_to_HVAC_flex]]-[@[VRGrid_to_Eev_flex]])
VRGrid_total_flex_use;Flexibler Netzbezug;Speicherbeladung;Wh/m²;=SUM(sim[@[VRGrid_to_HVAC_flex]:[VRGrid_to_Batt]])
VRGrid_to_building;;;Wh/m²;=[@[VRGrid_total_min_use]]+[@[VRGrid_total_flex_use]]-[@[VRGrid_to_Eev_min]]-[@[VRGrid_to_Eev_flex]]
Eev_discharge_potential;Vehicle-to-Building;Potential;Wh/m²;=SUM(sim[@[Eev_Dflex_pot_res]:[Eev_Dflex_pot_retail]])*EV_charging_efficiency
Eev_to_user;Vehicle-to-Building;Direktnutzung;Wh/m²;=-MIN([@[Eev_discharge_potential]],[@[E_plugAuxLight]]-[@[PV_to_user]]-[@[Batt_to_user]]-[@[VRGrid_to_user]])
Eev_to_Eh_min;Vehicle-to-Building;Direktnutzung;Wh/m²;=-MIN([@[Eh_min]]-[@[PV_to_Eh_min]]-[@[Batt_to_Eh_min]]-[@[VRGrid_to_Eh_min]],[@[Eev_discharge_potential]]-[@[Eev_to_user]])
Eev_to_Ec_min;Vehicle-to-Building;Direktnutzung;Wh/m²;=-MIN([@[Ec_min]]-[@[PV_to_Ec_min]]-[@[Batt_to_Ec_min]]-[@[VRGrid_to_Ec_min]],[@[Eev_discharge_potential]]-[@[Eev_to_user]]-[@[Eev_to_Eh_min]])
Eev_to_Edhw_min;Vehicle-to-Building;Direktnutzung;Wh/m²;=-MIN([@[Edhw_min]]-[@[PV_to_Edhw_min]]-[@[Batt_to_Edhw_min]]-[@[VRGrid_to_Edhw_min]],[@[Eev_discharge_potential]]-[@[Eev_to_user]]-[@[Eev_to_Eh_min]]-[@[Eev_to_Ec_min]])
Eev_to_Ev_min;Vehicle-to-Building;Direktnutzung;Wh/m²;=-MIN([@[Ev_min]]-[@[PV_to_Ev_min]]-[@[Batt_to_Ev_min]]-[@[VRGrid_to_Ev_min]],[@[Eev_discharge_potential]]-SUM(sim[@[Eev_to_user]:[Eev_to_Edhw_min]]))
Eev_to_HVAC;Vehicle-to-Building;Direktnutzung;Wh/m²;=SUM(sim[@[Eev_to_Eh_min]:[Eev_to_Ev_min]])
#2;Vehicle-to-Building;Direktnutzung;Wh/m²;
#3;Vehicle-to-Building;Direktnutzung;Wh/m²;
Eev_discharge_total;Vehicle-to-Building;Direktnutzung;Wh/m²;=(-[@[Eev_to_HVAC]]-[@[Eev_to_user]])/EV_charging_efficiency
#5;;;;
Grid_to_user;🔌Netzbezug;Nutzerstrom;Wh/m²;=[@[E_plugAuxLight]]-[@[PV_to_user]]-[@[Batt_to_user]]-[@[VRGrid_to_user]]+[@[Eev_to_user]]
Grid_to_Eh_min;🔌Netzbezug;HKLS;;=[@[Eh_min]]-[@[PV_to_Eh_min]]-[@[Batt_to_Eh_min]]-[@[VRGrid_to_Eh_min]]+[@[Eev_to_Eh_min]]
Grid_to_Ec_min;🔌Netzbezug;HKLS;;=[@[Ec_min]]-[@[PV_to_Ec_min]]-[@[Batt_to_Ec_min]]-[@[VRGrid_to_Ec_min]]+[@[Eev_to_Ec_min]]
Grid_to_Edhw_min;🔌Netzbezug;HKLS;;=[@[Edhw_min]]-[@[PV_to_Edhw_min]]-[@[Batt_to_Edhw_min]]-[@[VRGrid_to_Edhw_min]]+[@[Eev_to_Edhw_min]]
Grid_to_Ev_min;🔌Netzbezug;HKLS;;=[@[Ev_min]]-[@[PV_to_Ev_min]]-[@[Batt_to_Ev_min]]-[@[VRGrid_to_Ev_min]]+[@[Eev_to_Ev_min]]
test_grid_hvac;🔌Netzbezug;HKLS;;=[@[Ehvac_min]]-[@[PV_to_HVAC_min]]-[@[Batt_to_HVAC_min]]-[@[VRGrid_to_HVAC_min]]+[@[Eev_to_HVAC]]
Grid_to_HVAC_min;🔌Netzbezug;HKLS;Wh/m²;=SUM(sim[@[Grid_to_Eh_min]:[Grid_to_Ev_min]])
Grid_to_Eev_min;🔌Netzbezug;EV;;=[@[Eev_min]]-[@[PV_to_Eev_min]]-[@[Batt_to_Eev_min]]-[@[VRGrid_to_Eev_min]]
Grid_to_building_min;🔌Netzbezug;Gebäude;;=[@[Grid_to_HVAC_min]]+[@[Grid_to_user]]
Spalte15;🔌Netzbezug;;;
Spalte16;🔌Netzbezug;;;
E_grid;🔌Netzbezug;Insgesamt;;=SUM([@[Grid_to_user]],[@[Grid_to_HVAC_min]],[@[Grid_to_Eev_min]])
Spalte7;;;;
Eh_flex_1el_final;Speicherladung (aus PV + Netzsignal);HKLS;Wh/m²;=[@[PV_to_Eh_flex_1el]]+[@[VRGrid_to_Eh_flex_1el]]
Eh_flex_3el_final;Speicherladung (aus PV + Netzsignal);HKLS;Wh/m²;=[@[PV_to_Eh_flex_3el]]+[@[VRGrid_to_Eh_flex_3el]]
Ec_flex_1el_final;Speicherladung (aus PV + Netzsignal);HKLS;Wh/m²;=[@[PV_to_Ec_flex_1el]]+[@[VRGrid_to_Ec_flex_1el]]
Ec_flex_3el_final;Speicherladung (aus PV + Netzsignal);HKLS;Wh/m²;=[@[PV_to_Ec_flex_3el]]+[@[VRGrid_to_Ec_flex_3el]]
Edhw1_flex_final;Speicherladung (aus PV + Netzsignal);HKLS;Wh/m²;=[@[PV_to_Edhw1_flex]]+[@[VRGrid_to_Edhw1_flex]]
Edhw2_flex_final;Speicherladung (aus PV + Netzsignal);HKLS;Wh/m²;=[@[PV_to_Edhw2_flex]]+[@[VRGrid_to_Edhw2_flex]]
Eev_flex_final;Speicherladung (aus PV + Netzsignal);EV;Wh/m²;=([@[PV_to_Eev_flex]]+[@[VRGrid_to_Eev_flex]])*EV_charging_efficiency
Eev_flex_final_res;Speicherladung (aus PV + Netzsignal);EV;Wh/m²;=IFERROR([@[Eev_flex_final]]*[@[Eev_Cflex_pot_res]]/[@[Eev_Cflex_pot]],0)
Eev_flex_final_work;Speicherladung (aus PV + Netzsignal);EV;Wh/m²;=IFERROR([@[Eev_flex_final]]*[@[Eev_Cflex_pot_work]]/[@[Eev_Cflex_pot]],0)
Eev_flex_final_ret;Speicherladung (aus PV + Netzsignal);EV;Wh/m²;=IFERROR([@[Eev_flex_final]]*[@[Eev_Cflex_pot_retail]]/[@[Eev_Cflex_pot]],0)
Batt_total_charge;Speicherladung (aus PV + Netzsignal);BESS;Wh/m²;=([@[PV_to_Batt]]+[@[VRGrid_to_Batt]])*Batt_eff_factor_charge
Qh_u2;;;;
Qh_min_excl_distr_losses;Heizenergie;HWB Raumseitig;Wh/m²;=SUM(sim[@[Qh_min_wasteheat]:[Qh_min_4th]])
Qh_flex_wasteheat_final;Heizenergie;HWB Raumseitig;;=[@[Qh_wasteheat_flex]]
Qh_flex_1el_final;Heizenergie;HWB Raumseitig;Wh/m²;=IFERROR([@[Qh_flex_1el_potential]]*[@[Eh_flex_1el_final]]/[@[Eh_el1_flex_potential]],0)
Qh_flex_3el_final;Heizenergie;HWB Raumseitig;Wh/m²;=IFERROR([@[Qh_flex_3el_potential]]*[@[Eh_flex_3el_final]]/[@[Eh_el3_flex_potential]],0)
Qh_total_final;Heizenergie;HWB Raumseitig;Wh/m²;=SUM(sim[@[Qh_min_excl_distr_losses]:[Qh_flex_3el_final]])
Qh_u;Heizenergie;HWB Raumseitig;Wh/m²uncooled;=IFERROR([@[Qh_min_excl_distr_losses]]*[@[Qh_to_room_uncooled_min]]/[@[Qh_to_room_min]],0)+IFERROR(SUM(sim[@[Qh_flex_1el_final]:[Qh_flex_3el_final]])*[@[Qh_to_room_flex_u]]/[@[Qh_to_room_flex]],0)
Qh_c;Heizenergie;HWB Raumseitig;Wh/m²cooled;=IFERROR([@[Qh_min_excl_distr_losses]]*[@[Qh_to_room_cooled_min]]/[@[Qh_to_room_min]],0)+IFERROR(SUM(sim[@[Qh_flex_1el_final]:[Qh_flex_3el_final]])*[@[Qh_to_room_flex_c]]/[@[Qh_to_room_flex]],0)
Qheb_1el;Heizenergie;Heizenergiebedarf (inkl. Verteilverluste);Wh/m²;=([@[Qh_min_1el]]+[@[Qh_flex_1el_final]])*(1+QH_distr_loss_1el)
Qheb_2th;Heizenergie;Heizenergiebedarf (inkl. Verteilverluste);Wh/m²;=[@[Qh_min_2th]]*(1+QH_distr_loss_2th)
Qheb_3el;Heizenergie;Heizenergiebedarf (inkl. Verteilverluste);Wh/m²;=([@[Qh_min_3el]]+[@[Qh_flex_3el_final]])*(1+QH_distr_loss_3el)
Qheb_4th;Heizenergie;Heizenergiebedarf (inkl. Verteilverluste);Wh/m²;=[@[Qh_min_4th]]*(1+QH_distr_loss_4th)
Qheb_total;Heizenergie;Heizenergiebedarf (inkl. Verteilverluste);Wh/m²;=SUM(sim[@[Qheb_1el]:[Qheb_4th]])
QH_distr_losses;Heizenergie;Heizenergiebedarf (inkl. Verteilverluste);Wh/m²;=[@[Qheb_total]]-[@[Qh_total_final]]
Eh_aux;Heizenergie;Heizenergiebedarf (inkl. Verteilverluste);;=[@[Qheb_1el]]*QH_aux_el_to_th_1el+[@[Qheb_2th]]*QH_aux_el_to_th_2th+[@[Qheb_3el]]*QH_aux_el_to_th_3el+[@[Qheb_4th]]*QH_aux_el_to_th_4th
Night_schedule;Kühlenergie;Nachtlüften;;TRUE
