var_name;Kategorie;Name;Bereich;Einheit;Label;Kommentar;Formel
QT_u;Wärmebilanz;Transmissionswärmeverl.;Ungekühlt;kWh/m²NGFungekühlta;🧱 Transmissionswärmeverl.;;-0,001*SUMME(sim[QT_u])
QV_u;Wärmebilanz;Lüftungswärmeverluste;Ungekühlt;kWh/m²NGFungekühlta;💨 Lüftungswärmeverluste;;QV_inf_u+QV_window_u+QV_mechvent_u
QVn_u;Wärmebilanz;Nachtlüftung;Ungekühlt;kWh/m²NGFungekühlta;🌒 Nachtlüftung;;-0,001*SUMME(sim[Qv_nightvent])
QS_u;Wärmebilanz;Solare Gewinne;Ungekühlt;kWh/m²NGFungekühlta;🌞 Solare Gewinne;;0,001*SUMME(sim[QS_u])
QI_u;Wärmebilanz;Innere Wärmen;Ungekühlt;kWh/m²NGFungekühlta;👤 Innere Wärmen;;0,001*SUMME(sim[QI_u])
QH_u;Wärmebilanz;Heizwärmebedarf;Ungekühlt;kWh/m²NGFungekühlta;♨️ Heizwärmebedarf;;QH_min_u+QH_flex_u
QT_wall_u;Wärmebilanz;Transmission AW;Ungekühlt;kWh/m²NGFungekühlta;🧱 Transmission AW;;QT_u*IN!K315/transmittance_Wm²
QT_roof_u;Wärmebilanz;Transmission Dach;Ungekühlt;kWh/m²NGFungekühlta;🧱 Transmission Dach;;QT_u*IN!K316/transmittance_Wm²
QT_ground_u;Wärmebilanz;Transmission KD/EFB;Ungekühlt;kWh/m²NGFungekühlta;🧱 Transmission KD/EFB;;QT_u*IN!K317/transmittance_Wm²
QT_window_u;Wärmebilanz;Transmission Fenster;Ungekühlt;kWh/m²NGFungekühlta;🧱 Transmission Fenster;;QT_u*IN!K318/transmittance_Wm²
QT_psi_u;Wärmebilanz;Transmission Wärmebrücken;Ungekühlt;kWh/m²NGFungekühlta;🧱 Transmission Wärmebrücken;;QT_u*IN!K319/transmittance_Wm²
QV_inf_u;Wärmebilanz;Infiltration;Ungekühlt;kWh/m²NGFungekühlta;💨 Infiltration;;-SUMME(sim[Qvinf_u])/1000
QV_window_u;Wärmebilanz;Lüftung Fenster;Ungekühlt;kWh/m²NGFungekühlta;💨 Lüftung Fenster;;-SUMME(sim[Qvwindow_u])/1000
QV_mechvent_u;Wärmebilanz;Mechanische Lüftung;Ungekühlt;kWh/m²NGFungekühlta;💨 Mechanische Lüftung;;-SUMME(sim[Qvmechvent_u])/1000
QV_heatrecovery_u;Wärmebilanz;ML Wärmerückgewinnung;Ungekühlt;kWh/m²NGFungekühlta;🔀 ML Wärmerückgewinnung;;"SUMMENPRODUKT(sim[dT_uncooled];sim[ACH_mechvent_u]-sim[ACH_mechvent_therm_u])*cp_air*per_NFA_uncooled * -0,001"
QH_min_u;Wärmebilanz;Heizwärmebedarf Statisch;Ungekühlt;kWh/m²NGFungekühlta;♨️ Heizwärmebedarf Statisch;;SUMME(sim[Qh_to_room_uncooled_min])/1000
QH_flex_u;Wärmebilanz;Heizwärmebedarf Flexibel;Ungekühlt;kWh/m²NGFungekühlta;♨️ Heizwärmebedarf Flexibel;;SUMME(sim[Qh_u])/1000-QH_min_u
QH_flexanteil_u;Wärmebilanz;Flexibilitätsanteil;Ungekühlt;%;Flexibilitätsanteil;;"WENNFEHLER(QH_flex_u/QH_u;0)"
QT_c;Wärmebilanz;Transmissionswärmeverl.;Gekühlt;kWh/m²NGFgekühlta;🧱 Transmissionswärmeverl.;;-0,001*SUMME(sim[QT_c])
QV_c;Wärmebilanz;Lüftungswärmeverluste;Gekühlt;kWh/m²NGFgekühlta;💨 Lüftungswärmeverluste;;QV_inf_c+QV_window_c+QV_mechvent_c
QVn_c;Wärmebilanz;Nachtlüftung gekühlt;Gekühlt;kWh/m²NGFgekühlta;🌒 Nachtlüftung;;
QS_c;Wärmebilanz;Solare Gewinne;Gekühlt;kWh/m²NGFgekühlta;🌞 Solare Gewinne;;SUMME(sim[QS_c])/1000
QI_c;Wärmebilanz;Innere Wärmen;Gekühlt;kWh/m²NGFgekühlta;👤 Innere Wärmen;;0,001*SUMME(sim[QI_c])
QH_c;Wärmebilanz;Heizwärmebedarf;Gekühlt;kWh/m²NGFgekühlta;♨️ Heizwärmebedarf;;QH_min_c+QH_flex_c
QC_c;Wärmebilanz;Kühlbedarf (KB);Gekühlt;kWh/m²NGFgekühlta;❄️ Kühlbedarf (KB);;QC_min_c+QC_flex_c
QT_wall_c;Wärmebilanz;Transmission AW;Gekühlt;kWh/m²NGFgekühlta;🧱 Transmission AW;;QT_c*IN!K315/transmittance_Wm²
QT_roof_c;Wärmebilanz;Transmission Dach;Gekühlt;kWh/m²NGFgekühlta;🧱 Transmission Dach;;QT_c*IN!K316/transmittance_Wm²
QT_ground_c;Wärmebilanz;Transmission KD/EFB;Gekühlt;kWh/m²NGFgekühlta;🧱 Transmission KD/EFB;;QT_c*IN!K317/transmittance_Wm²
QT_window_c;Wärmebilanz;Transmission Fenster;Gekühlt;kWh/m²NGFgekühlta;🧱 Transmission Fenster;;QT_c*IN!K318/transmittance_Wm²
QT_psi_c;Wärmebilanz;Transmission Wärmebrücken;Gekühlt;kWh/m²NGFgekühlta;🧱 Transmission Wärmebrücken;;QT_c*IN!K319/transmittance_Wm²
QV_inf_c;Wärmebilanz;Infiltration;Gekühlt;kWh/m²NGFgekühlta;💨 Infiltration;;-SUMME(sim[Qvinf_c])/1000
QV_window_c;Wärmebilanz;Lüftung Fenster;Gekühlt;kWh/m²NGFgekühlta;💨 Lüftung Fenster;;-SUMME(sim[Qvwindow_c])/1000
QV_mechvent_c;Wärmebilanz;Mechanische Lüftung;Gekühlt;kWh/m²NGFgekühlta;💨 Mechanische Lüftung;;-SUMME(sim[Qvmechvent_c])/1000
QV_heatrecovery_c;Wärmebilanz;ML Wärmerückgewinnung;Gekühlt;kWh/m²NGFgekühlta;🔀 ML Wärmerückgewinnung;;"SUMMENPRODUKT(sim[dT_cooled];sim[ACH_mechvent_c]-sim[ACH_mechvent_therm_c])*cp_air*per_NFA_cooled * -0,001"
QH_min_c;Wärmebilanz;Heizwärmebedarf Statisch;Gekühlt;kWh/m²NGFgekühlta;♨️ Heizwärmebedarf Statisch;;SUMME(sim[Qh_to_room_cooled_min])/1000
QH_flex_c;Wärmebilanz;Heizwärmebedarf Flexibel;Gekühlt;kWh/m²NGFgekühlta;♨️ Heizwärmebedarf Flexibel;;SUMME(sim[Qh_c])/1000-QH_min_c
QC_min_c;Wärmebilanz;Kühlbedarf Statisch;Gekühlt;kWh/m²NGFgekühlta;❄️ Kühlbedarf Statisch;;-SUMME(sim[Qc_min_excl_losses])/1000
QC_flex_c;Wärmebilanz;Kühlbedarf Flexibel;Gekühlt;kWh/m²NGFgekühlta;❄️ Kühlbedarf Flexibel;;-SUMME(sim[Qc_flex_excl_losses])/1000
QC_flexanteil;Wärmebilanz;Flexibilitätsanteil;Gekühlt;;Flexibilitätsanteil;;"WENNFEHLER(QH_flex_c/QH_c;0)"
QH_flexanteil_c;Wärmebilanz;Flexibilitätsanteil;Gekühlt;;Flexibilitätsanteil;;"WENNFEHLER(QC_flex_c/QC_c;0)"
dTu winter;Komfort;Mittlere Temperaturüberschreitung ungekühlt;;K;;;"MITTELWERT(MITTELWERTWENNS(sim[Ti_final_uncooled];month;winter_months))-Tsetheat_min"
dTc winter;Komfort;Mittlere Temperaturüberschreitung gekühlt;;K;;;"MITTELWERT(MITTELWERTWENNS(sim[Ti_final_cooled];month;winter_months))-Tsetheat_min"
dTu summer;Komfort;Mittlere Temperaturunterschreitung ungekühlt;;°C;;;"Tsetcool_max - MITTELWERT(MITTELWERTWENNS(sim[Ti_final_uncooled];month;summer_months))"
dTc summer;Komfort;Mittlere Temperaturunterschreitung gekühlt;;°C;;;"Tsetcool_max- MITTELWERT(MITTELWERTWENNS(sim[Ti_final_cooled];month;summer_months))"
EUI_plugAuxLight;EE-Bilanz;Nutzerstrom, Beleuchtung und Allgemeinstrom;Endenergiebedarf;kWh/m²NGFa;;;PV_to_plugloads+Batt_to_plugloads+VRGrid_to_plugloads+Grid_to_plugloads+Eev_to_plugloads
EUI_plugloads;EE-Bilanz;Nutzerstrom;Endenergiebedarf;kWh/m²NGFa;;;SUMME(sim[E_plugAuxLight])/1000-EUI_aixiliary-EUI_lighting
EUI_auxiliary;EE-Bilanz;Beleuchtung;Endenergiebedarf;kWh/m²NGFa;;;SUMME(sim[Elight])/1000
EUI_lighting;EE-Bilanz;Allgemeinstrom;Endenergiebedarf;kWh/m²NGFa;;;SUMME(sim[Eaux])/1000
EUIh_el;EE-Bilanz;Heizen;Endenergiebedarf;kWh/m²NGFa;;;PV_to_Eh_min+PV_to_Eh_flex+Batt_to_Eh_min+VRGrid_to_Eh_min+VRGrid_to_Eh_flex+Eev_to_Eh_min+Grid_to_Eh_min
EUIh_el_aux;EE-Bilanz;Heizen Hilfsstrom;Endenergiebedarf;kWh/m²NGFa;;;SUMME(sim[Eh_aux])/1000
EUIc_el;EE-Bilanz;Kühlen;Endenergiebedarf;kWh/m²NGFa;;;PV_to_Ec_min+PV_to_Ec_flex+Batt_to_Ec_min+VRGrid_to_Ec_min+VRGrid_to_Ec_flex+Eev_to_Ec_min+Grid_to_Ec_min
EUIc_el_aux;;Heizen Hilfsstrom;Endenergiebedarf;kWh/m²NGFa;;;SUMME(sim[Ec_aux])/1000
EUIdhw_el;EE-Bilanz;Warmwasser;Endenergiebedarf;kWh/m²NGFa;;;PV_to_Edhw_min+PV_to_Edhw+Batt_to_Edhw_min+VRGrid_to_Edhw_min+VRGrid_to_Edhw_flex+Eev_to_Edhw_min+Grid_to_Edhw_min
EUIv_el;EE-Bilanz;Lüftung;Endenergiebedarf;kWh/m²NGFa;;;PV_to_Ev_min+Batt_to_Ev_min+VRGrid_to_Ev_min+Eev_to_Ev_min+Grid_to_Ev_min
EUIdhwdirect_el;EE-Bilanz;"WW
E-Stab";Endenergiebedarf;kWh/m²NGFa;;;PV_to_Edhw_direct
Batt_total_charge_input;EE-Bilanz;e-Speicher Beladung;Endenergiebedarf;kWh/m²NGFa;;;PV_to_Batt+VRGrid_to_Batt
EUIev_el;EE-Bilanz;EV Quartiersladung;Endenergiebedarf;kWh/m²NGFa;;;PV_to_Eev_min+PV_to_Eev_flex+Batt_to_Eev_min+VRGrid_to_Eev_min+VRGrid_to_Eev_flex+Grid_to_Eev_min
EUI_el_total;EE-Bilanz;Quartier;Endenergiebedarf;kWh/m²NGFa;Ohne Speicher;;EUI_plugAuxLight+EUIh_el+EUIc_el+EUIdhw_el+EUIv_el+EUIdhwdirect_el+EUIev_el
PV_total;EE-Bilanz;PV Ertrag;Erneuerbare Erzeugung;kWh/m²NGFa;;;PV_total_direct+PV_total_flex+PV_to_Egrid
PV_to_plugloads;EE-Bilanz;PV Direktdeckung Haushaltsstrom;Haushaltsstrom;kWh/m²NGFa;;;SUMME(sim[PV_to_user])/1000
PV_to_Eh_min;EE-Bilanz;PV Direktdeckung Heizen;Heizen;kWh/m²NGFa;;;SUMME(sim[PV_to_Eh_min])/1000
PV_to_Ec_min;EE-Bilanz;PV Direktdeckung Kühlen;Kühlen;kWh/m²NGFa;;;SUMME(sim[PV_to_Ec_min])/1000
PV_to_Edhw_min;EE-Bilanz;PV Direktdeckung Warmwasser;Warmwasser;kWh/m²NGFa;;;SUMME(sim[PV_to_Edhw_min])/1000
PV_to_Ev_min;EE-Bilanz;PV Direktdeckung Lüftung;Lüftung;kWh/m²NGFa;;;SUMME(sim[PV_to_Ev_min])/1000
PV_to_Eev_min;EE-Bilanz;PV Direktdeckung MIV;MIV;kWh/m²NGFa;;;SUMME(sim[PV_to_Eev_min])/1000
PV_total_direct;EE-Bilanz;PV Direktdeckung Quartier;Quartier;kWh/m²NGFa;;;PV_to_plugloads+PV_to_Eh_min+PV_to_Ec_min+PV_to_Edhw_min+PV_to_Ev_min+PV_to_Eev_min
PV_to_Eh_flex;EE-Bilanz;PV Überdeckung Heizen;Heizen;kWh/m²NGFa;;;SUMME(sim[[PV_to_Eh_flex_1el]:[PV_to_Eh_flex_3el]])/1000
PV_to_Ec_flex;EE-Bilanz;PV Überdeckung Kühlen;Kühlen;kWh/m²NGFa;;;SUMME(sim[[PV_to_Ec_flex_1el]:[PV_to_Ec_flex_3el]])/1000
PV_to_Edhw;EE-Bilanz;PV Überdeckung Warmwasser;Warmwasser;kWh/m²NGFa;;;SUMME(sim[[PV_to_Edhw1_flex]:[PV_to_Edhw2_flex]])/1000
PV_to_Edhw_direct;EE-Bilanz;"PV Überdeckung WW
E-Stab";"WW
E-Stab";kWh/m²NGFa;;;
PV_to_Batt;EE-Bilanz;PV Überdeckung e-Speicher Beladung;e-Speicher Beladung;kWh/m²NGFa;;;SUMME(sim[PV_to_Batt])/1000
PV_to_Eev_flex;EE-Bilanz;PV Überdeckung MIV;MIV;kWh/m²NGFa;;;SUMME(sim[PV_to_Eev_flex])/1000
PV_total_flex;EE-Bilanz;PV Überdeckung Quartier;Quartier;kWh/m²NGFa;;;PV_to_Eh_flex+PV_to_Ec_flex+PV_to_Edhw+PV_to_Edhw_direct+PV_to_Batt+PV_to_Eev_flex
PV_to_Egrid;EE-Bilanz;PV Netzeinspeisung;;kWh/m²NGFa;;;SUMME(sim[PV_to_Egrid])/1000
Batt_to_plugloads;EE-Bilanz;E-Batterie → Nutzerstrom;Haushaltsstrom;kWh/m²NGFa;;;SUMME(sim[Batt_to_user])/1000
Batt_to_HVAC;;E-Batterie → HKLS;;kWh/m²NGFa;;;SUMME(I169:I172)
Batt_to_Eh_min;EE-Bilanz;E-Batterie;Heizen;kWh/m²NGFa;;;SUMME(sim[Batt_to_Eh_min])/1000
Batt_to_Ec_min;EE-Bilanz;E-Batterie;Kühlen;kWh/m²NGFa;;;SUMME(sim[Batt_to_Ec_min])/1000
Batt_to_Edhw_min;EE-Bilanz;E-Batterie;Warmwasser;kWh/m²NGFa;;;SUMME(sim[Batt_to_Edhw_min])/1000
Batt_to_Ev_min;EE-Bilanz;E-Batterie;Lüftung;kWh/m²NGFa;;;SUMME(sim[Batt_to_Ev_min])/1000
Batt_to_Eev_min;EE-Bilanz;E-Batterie;MIV;kWh/m²NGFa;;;SUMME(sim[Batt_to_Eev_min])/1000
VRGrid_to_plugloads;EE-Bilanz;Flexible Direktdeckung → Nutzerstrom;Haushaltsstrom;kWh/m²NGFa;;;SUMME(sim[VRGrid_to_user])/1000
VRGrid_to_Eh_min;EE-Bilanz;Flexible Direktdeckung → Heizen;Heizen;kWh/m²NGFa;;;SUMME(sim[VRGrid_to_Eh_min])/1000
VRGrid_to_Ec_min;EE-Bilanz;Flexible Direktdeckung → Kühlen;Kühlen;kWh/m²NGFa;;;SUMME(sim[VRGrid_to_Ec_min])/1000
VRGrid_to_Edhw_min;EE-Bilanz;Flexible Direktdeckung;Warmwasser;kWh/m²NGFa;;;SUMME(sim[VRGrid_to_Edhw_min])/1000
