var_name;ka;Type;Name;Einheit;Kommentar;Icon;Formel
PV_id;0;calculation;PV Profil ID;;;🌞;"VERGLEICH(PV_profile_name;pv_profile_names;0)"
PV_scale;2;userinput;PV Skalierungsfaktor Profil;;;🌞;🌞PV!D9
PV_efficiency;1;value;PV Wechselrichter Effizienz;;;🌞;
PV_m2_per_kWp;2;userinput;Spezifische PV Fläche;m2/kWp;;🌞;🌞PV!D10
PV_kWp;0;calculation;PV Installierte Leistung;kWp;;🌞;"PV_scale*INDEX('PV-Import'!$B$19:$AV$19;1;VERGLEICH(PV_profile_name;pv_profile_names;0))"
PV_module_area;0;calculation;PV-Modulfläche;m²;;🌞;PV_kWp*PV_m2_per_kWp
FLEX_PV_is_used;2;ui_writeback;Flex PV Nutzung;;;🔋;
FLEX_is_used;2;ui_writeback;Flex Signal Nutzung;;;🔋;
FLEX_signal_name;2;userinput;Flex Signal Name;;;🔋;🚦Signals!D5
FLEX_signal_ID;0;calculation;Flex Signal ID;;;🔋;"VERGLEICH(FLEX_signal_name;flex_signal_names;0)"
FLEX_grid_maxpower_Wm2;1;value;Flex Maximale Leistung;W/m²;;🔋;
FLEX_is_used_for_plugloads;1;value;Flex Netzbezug deckt Nutzerstrom;bool;muss jetzt nicht mehr automatisch Wahr sein;🔋;
FLEX_is_used_for_HVAC_min;1;value;Flex Netzbezug deckt HVAC Minimum;bool;muss jetzt nicht mehr automatisch Wahr sein;🔋;
FLEX_is_used_for_ev_min;1;value;Flex Netzbezug deckt EV Minimum;bool;muss jetzt nicht mehr automatisch Wahr sein;🔋;
flex_heat_dT;2;userinput;Flexibles Heizen über Solltemperatur;;Kelvin;♨️;🔋!D22
Tsetheat_flex;0;calculation;Flexibles Heizen Maximale Raumtemperatur;;°C;♨️;Tsetheat_min+K723
FLEX_choice_heat_system;2;userinput;Flexibles Heizsystem;Text;;♨️;🔋!D23
FLEX_heat1_use;0;calculation;Flexibles Heizen mit Heizsystem 1;bool;;♨️;"WENN(K725=""System 1"";WAHR;FALSCH)"
FLEX_heat3_use;0;calculation;Flexibles Heizen mit Heizsystem 3;bool;;♨️;"WENN(K725=""System 3"";WAHR;FALSCH)"
flex_cool_dT;2;userinput;Flexibles Kühlen unter Solltemperatur;;Kelvin;❄️;🔋!D25
Tsetcool_flex;0;calculation;Flexibles Kühlen Minimale Raumtemperatur;;°C;❄️;Tsetcool_max-K728
FLEX_choice_cool_system;2;userinput;Flexibles Kühlsystem;Text;;❄️;🔋!D26
FLEX_cool1_use;0;calculation;Flexibles Kühlen mit Kühlsystem 1;bool;;❄️;"WENN(K730=""System 1"";WAHR;FALSCH)"
FLEX_cool3_use;0;calculation;Flexibles Kühlen mit Kühlsystem 3;bool;;❄️;"WENN(K730=""System 3"";WAHR;FALSCH)"
Batt_is_used;2;ui_writeback;Batterie Nutzung;;;🔋;
Batt_cap_kWh;2;userinput;Batterie Kapazität;kWh;;🔋;🔋!D34
Batt_cap_Wh_per_NFA;0;calculation;Batterie Kapazität spezifisch;W/m²;;🔋;Batt_cap_kWh/NFA_total*1000
Batt_c_rate;2;userinput;Maximale Be/Entladeleistung;%;;🔋;🔋!D35
Batt_max_power_specific;0;calculation;Batterie Leistung spezifisch;W/m²;;🔋;Batt_cap_Wh_per_NFA*Batt_c_rate
Batt_eff_factor_charge;2;userinput;Wirkungsgrad Ladung;%;;🔋;🔋!D36
Batt_eff_factor_discharge;2;userinput;Wirkungsgrad Entladung;%;;🔋;🔋!D37
Batt_self_discharge_rate;2;userinput;Batterie Selbstentladung;%/h;;🔋;🔋!D38
Batt_auto_discharge_factor;0;calculation;Batterie Selbstentladung pro Stunde;;;🔋;Batt_self_discharge_rate/7/24
Batt_SOC_init;1;value;Batterie Initialer SOC;%;;🔋;
Batt_is_used_for_plugloads;1;value;Batterie Nutzung für Nutzerstrom;bool;;🔋;
Batt_is_used_for_HVACminimum;1;value;Batterie Nutzung für HKLS Minimum;bool;;🔋;
Batt_is_used_for_EV;1;value;Batterie Nutzung für Ecars;bool;;🔋;
Batt_is_gridcharged;2;ui_writeback;Batterie wird flexibel  durch Netz geladen?;bool;;🔋;
flex_dhw_use;1;value;Flexible WW-Speicherbeladung;bool;;🔋;
flex_Signals_selected_column;0;calculation;Flex Signal Table;;;🔋;"VERGLEICH(FLEX_signal_name;Signals[#Kopfzeilen];0)"
Batt_is_not_used_during_signals;1;value;Batterie wird während Netzsignal nicht entladen;;;🔋;
mobility_is_included;2;ui_writeback;MIV simulieren;bool;;🚗;
