Wind 2013,Wind 2015,Wind 2016,"Wind 2030, TU EEG, ""Stromzukunft""",WEB 2015 Umgebung Wien,Hochrechnung Ueberschuss 2050,Wind AT 2017,Wind AT 2018,Wind AT 2019,Wind AT 2020
0.8988493,0.0666025,1.1999063,4.301580375,0,0,1351.13,1792.265,2560,95
0.9841335,0.0539185,1.3684873,3.865949587,0,0,1347.899,1935.076,2420,136
0.9553203,0.0611625,1.4181448,3.154492272,0,0,1223.744,1976.35,2335,175
0.8408198,0.0573323,1.4326955,2.926825932,0,0,1217.678,1974.611,2281,195
0.9519843,0.1434215,1.5130378,2.756076179,0.138705,0,1194.059,2135.711,2276,312
1.0060098,0.5685138,1.616501,2.213179516,0.619293,0.3,1254.523,2093.448,2239,578
1.0583038,1.080774,1.70603,2.099346351,2.403051,3.6,1419.209,2156.777,2286,623
1.022057,1.4241613,1.7853793,2.329201791,3.208098,5.7,1879.572,1765.252,2276,649
0.975303,1.639042,1.8423483,2.276663404,4.025442,7,2061.438,1665.598,2344,674
1.0283238,1.6717838,1.7599858,2.182532132,4.401297,7.2,2098.237,1706.118,2404,716
1.008947,1.6665648,1.7325105,1.965811283,4.483302,6.8,2022.357,1509.568,2343,833
1.0491688,1.731863,1.6092883,1.71625395,4.439901,6.9,2030.584,1453.608,2444,1015
1.0650985,1.8493678,1.4970873,2.040240663,4.580472,7.6,2219.432,1478.682,2251,1200
1.069857,1.9208213,1.5254715,2.357660085,4.431765,8.4,2364.857,931.708,2029,1174
1.0434545,1.9448253,1.4290003,1.974567684,4.580628,8.7,2315.122,860.604,1833,959
1.0726255,1.913552,1.3327095,1.823519824,4.560714,9.1,2225.137,926.906,1655,906
1.0767745,1.909645,1.246362,2.024916971,4.517622,9.2,2369.613,700.17,1436,1386
1.0824663,1.8855408,1.107311,2.346714584,4.288281,8.8,2429.446,450.059,1233,1608
1.0269833,1.8391168,0.9604978,2.24163781,4.303254,8,2464.817,447.717,920,1748
1.0365143,1.8247468,0.7895873,2.799858165,4.292418,7,2455.816,451.058,619,2113
0.9958983,1.8126808,0.553839,2.583137325,3.111537,6.6,2433.208,693.492,736,2459
0.912834,1.8020705,0.3862265,2.136561036,3.346479,6.7,2442.576,873.386,973,2825
0.8457188,1.7769998,0.2931425,2.110291843,2.269755,6.8,2432.021,784.587,1237,2949
0.908252,1.67359,0.2569228,2.432089465,2.878587,6.3,2423.817,607.463,1331,2969
1.061577,1.5607495,0.2352498,3.224543452,3.183288,6,2356.558,709.769,1582,2951
1.0766505,1.405997,0.216741,3.712712627,1.787847,4.8,2293.311,844.229,1846,2943
1.0715738,1.4213345,0.2229083,3.863760487,2.192394,5.2,2262.965,864.611,2031,2928
1.0542328,1.472515,0.2100205,4.141776114,3.142503,5.7,2176.727,896.736,2209,2841
1.0331758,1.566151,0.1792685,3.975404561,3.018321,6.5,1860.07,786.64,2275,2820
1.0219475,1.5748605,0.1601105,4.435115434,3.188118,6.6,1804.778,522.116,2302,2909
0.9839063,1.5486018,0.1688963,4.864178921,3.757374,6.7,1390.911,363.243,2295,2936
0.9726765,1.460092,0.1583315,4.724076562,3.674766,6,1206.665,443.191,2375,2938
0.9975328,1.3697543,0.1651695,4.645268982,2.634678,5,1508.036,490.655,2273,2932
0.981306,1.3008615,0.1803385,4.625567089,2.382342,3.9,1583.973,625.452,2173,2902
0.98458,1.235269,0.2062115,4.531435816,1.96503,2.7,1599.213,592.487,2242,2896
0.9274165,1.1478188,0.1778355,5.203489336,3.31887,2.1,1802.721,459.613,2479,2829
0.8988885,1.363207,0.1905118,5.855840964,3.07932,4.2,2001.968,377.09,2554,2734
0.90327,1.4205735,0.2057583,6.267391658,3.258684,4.5,2188.285,337.716,2628,2746
0.9976955,1.6509383,0.2693285,6.442519612,3.651171,6.1,2290.672,240.131,2699,2794
1.0203088,1.5799298,0.2153838,6.481923398,3.478929,6,2297.77,210.956,2801,2773
1.0412678,1.5987725,0.145508,6.615458465,3.772569,6.1,2318.406,306.212,2840,2722
1.0347295,1.845934,0.0929635,6.619836666,3.709158,7.1,2308.675,511.11,2886,2443
1.0215315,1.8320953,0.0673173,6.190773178,3.598152,6.1,2247.062,702.686,2869,1987
1.0102235,1.788212,0.0567188,6.227987873,3.847671,6.1,2119.817,720.588,2895,1781
0.952683,1.8129285,0.0664853,5.582203537,3.572079,5.9,2156.829,585.492,2853,1848
0.9432855,1.7847648,0.085775,4.86198983,2.861451,5.9,2194.547,691.636,2800,1704
0.9104135,1.7049238,0.117982,4.505166622,2.609589,5.9,2166.071,705.832,2645,1283
0.8351233,1.4986433,0.114132,4.340984161,2.134197,4.8,2161.136,558.729,2366,950
0.829703,1.3382485,0.114616,4.362875154,2.474328,3.8,2093.363,458.655,1565,818
0.8290623,1.262587,0.1192483,4.391333448,2.814858,2.9,2096.964,357.997,1325,897
0.710189,1.164172,0.1134175,4.439493634,2.476032,2.7,2200.348,357.884,1610,1008
0.6485798,1.112319,0.088119,4.483275629,2.605416,2.8,2269.106,298.607,1831,845
0.633598,0.959834,0.06883,5.032739583,1.848525,2.3,2301.037,209.409,1920,548
0.6415563,0.866254,0.0636765,5.726684096,1.342833,2.2,2266.175,208.396,1938,365
0.7236235,0.7908748,0.0582445,5.671956618,1.177581,1.9,2278.613,219.824,1871,245
0.7030403,0.7407368,0.057793,5.520908749,1.389915,1.7,2310.311,182.853,1977,124
0.6209713,0.716025,0.0596318,5.023983182,1.118853,1.3,2293.181,161.768,1923,25
0.434631,0.5886865,0.039897,3.918487974,0.694461,0.6,2285.722,194.885,2315,4
0.2973763,0.6422065,0.0379898,3.323052925,0.644199,0.4,2349.53,188.979,2396,4
0.205386,0.6140468,0.0318423,3.579177559,0.907836,0,2380.824,193.214,2415,8
0.1680128,0.4409288,0.0136903,3.395293214,0.271212,0,2407.467,192.263,2376,18
0.1702505,0.3206193,0.011811,3.487235386,0.175992,0,2389.003,151.218,2463,9
0.154356,0.3980613,0.0132358,3.861571387,0.280797,0,2397.783,171.117,2623,11
0.2047893,0.4852188,0.0103508,4.316904068,0.135681,0.6,2309.094,185.291,2693,61
0.1684995,0.5507813,0.0063273,4.249041988,0.13779,1.1,2220.463,206.44,2611,94
0.207037,0.526967,0.008627,3.605446753,0.094524,0.5,2064.102,224.25,2542,100
0.394435,0.4699753,0.0103048,2.228503218,0.17958,0,1972.401,308.709,2484,136
0.5434973,0.4219688,0.007328,2.003025978,0.076068,0,2081.034,386.007,2574,276
0.8907923,0.3194505,0.0160695,1.965811283,0.084975,0,2051.807,357.451,2511,468
0.9894438,0.3829465,0.031649,1.725010351,0.071979,0,1911.86,276.02,2442,549
0.9681278,0.2684018,0.0320975,1.457940215,0.013029,0,1784.893,184.127,2285,548
0.8772923,0.1524875,0.0499863,1.705308458,0,0,1536.335,154.479,2184,550
0.936074,0.0930695,0.06162,1.981134985,0,0,1559.989,141.122,2347,478
1.0246548,0.0599025,0.0843115,2.143128337,0.049314,0,1474.077,138.123,2401,367
1.0390043,0.0935965,0.1113903,2.344525484,0.062169,0,1495.87,175.214,2297,442
0.9965848,0.1778615,0.144077,2.289797997,0.013662,0,1545.769,160.529,1972,534
0.9396038,0.1893638,0.148193,2.132182845,0.005442,0,1625.288,161.506,1177,622
0.8195675,0.270628,0.1496913,2.007404178,0.066843,0,1596.562,157.705,891,563
0.7007675,0.3040705,0.1561045,1.79287243,0.209667,0,1554.487,153.251,835,472
0.5274668,0.4589885,0.1571943,1.788494229,0.745245,0,1414.857,150.39,642,393
0.3361415,0.5317915,0.2201888,2.151884738,0.809421,0,1402.754,150.484,495,383
0.2281933,0.627319,0.284426,2.769210771,0.825375,0,1521.732,108.641,417,290
0.1685798,0.7622643,0.2966908,3.279270939,1.335819,0,1634.457,98.925,309,253
0.1549058,0.7554328,0.29623,3.454398892,1.696149,0,1726.568,95.146,230,205
0.1827865,0.7668645,0.3071235,4.027942948,1.696989,0,1672.577,99.415,129,140
0.179182,0.781749,0.3695233,5.22975853,1.522746,0,1673.994,106.596,88,136
0.1431585,0.7599328,0.3785018,6.170901919,1.185552,0,1668.727,102.136,77,112
0.1851943,0.5936773,0.4250338,6.214853271,0.791778,0,1676.807,110.248,60,114
0.2020808,0.4426323,0.407555,6.265202558,0.819795,0,1664.688,148.294,45,107
0.1727853,0.3697218,0.2392338,5.921513952,0.813066,0,1396.755,272.253,45,173
0.128903,0.3294095,0.2733978,5.466181271,0.487335,0,885.962,314.17,35,320
0.138207,0.293005,0.2558898,5.347969896,0.388899,0,659.458,418.286,32,609
0.1368898,0.2825268,0.2757985,3.104142985,0.614715,0,625.968,360.19,41,941
0.1252813,0.2100005,0.192917,2.742941577,0.459996,0,579.539,366.43,46,1091
0.0705285,0.1836753,0.1035383,2.383929279,0.27651,0,465.519,355.486,66,1196
0.0444183,0.1476408,0.0697668,1.915461996,0.092052,0,311.297,340.173,123,946
0.0410385,0.1365238,0.0548868,1.639635469,0.026916,0,352.231,332.772,153,756
0.0396663,0.1125693,0.0723395,1.077036914,0.012687,0,357.752,286.314,176,651
0.0214848,0.1207005,0.079223,0.779319394,0.073731,0,347.006,249.458,226,671
0.0230215,0.1402625,0.1043085,0.831857781,0.063471,0,315.083,221.541,240,583
0.0229648,0.1657963,0.0756878,0.873450667,0.077082,0,277.757,198.866,234,374
0.0197653,0.1749978,0.0711523,0.788075795,0.11625,0,207.691,212.532,231,245
0.0232038,0.1911138,0.1049743,0.582300448,0.140184,0,153.129,247.664,252,145
0.019596,0.1728443,0.1525338,0.516627469,0.177579,0,121.742,277.061,266,53
0.0176055,0.186245,0.1643778,0.645784327,0.158781,0,115.933,265.439,310,13
0.0240493,0.1881498,0.338812,0.763995702,0.141384,0,126.086,236.625,416,12
0.0259575,0.1519053,0.4075425,0.825290481,0.105447,0,151.208,279.619,376,28
0.0296815,0.1468128,0.2820275,0.343688606,0.169218,0,190.858,251.762,537,112
0.0325348,0.1993425,0.3020228,0.317419413,0.354219,0,206.752,234.9,680,267
0.0376395,0.2678065,0.4227615,0.571354947,0.497295,0,230.832,214.189,521,225
0.058503,0.333772,0.4067805,0.728970108,0.49932,0,322.859,196.593,545,140
0.0597868,0.3733465,0.295227,0.643595236,0.439344,0,466.586,203.521,726,157
0.0864728,0.387795,0.2920555,0.757428401,0.737772,0,664.616,217.877,922,226
0.1364813,0.4213705,0.26752,1.022309436,0.79038,0,992.613,264.265,1262,316
0.1175015,0.4943373,0.2693933,0.799021287,0.894861,0,1115.803,299.159,1385,374
0.1332663,0.5454835,0.25481,0.860316075,0.843663,0,1388.412,299.666,1123,576
0.153518,0.58244,0.2224458,0.639217035,0.799929,0,1565.373,367.514,1176,638
0.1487278,0.5818355,0.2186993,0.704890014,0.551223,0,1565.86,389.944,1503,566
0.1088298,0.560908,0.1724488,1.19524829,0.611271,0,1652.256,358.102,1641,463
0.0802785,0.6232295,0.204621,1.287190462,0.351711,0,1618.707,346.493,1881,350
0.0847878,0.5695965,0.267491,1.563016989,0.303813,0,1646.93,376.519,2136,266
0.0910673,0.623006,0.4085695,1.928596598,0.438462,0,1599.659,567.189,2419,212
0.0967358,0.6182225,0.4299353,2.701348691,0.547047,0,1500.069,897.886,2589,175
0.1073055,0.5262463,0.4834365,2.151884738,0.151854,0,1533.56,1115.723,2641,192
0.1089365,0.5102978,0.542274,1.996458677,1.325733,0,1500.81,1264.848,2707,234
0.1376865,0.564788,0.532325,1.692173856,1.485927,0,1557.504,1496.118,2614,167
0.182839,1.1283603,0.4849148,1.514856803,3.713853,2.3,1613.927,1473.401,2499,222
0.1787665,1.548077,0.4014275,1.543315096,3.376047,4.1,1652.137,1530.891,2209,249
0.250666,1.1507183,0.2717725,1.519235003,1.349385,1.1,1666.472,1614.269,1818,236
0.3054053,0.7193173,0.221965,1.764414136,0.240969,0,1580.063,1500.191,1483,329
0.294817,0.6077285,0.1338605,2.335769092,0.220581,0,1673.131,1532.407,1401,304
0.2193075,0.9464198,0.125164,2.379551078,1.010838,0,1678.368,1525.479,1082,242
0.16536,1.0149725,0.1393648,2.633486612,0.867081,0,1688.603,1367.26,1105,226
0.1280855,0.6308178,0.0902923,2.537166239,1.811496,0,1538.78,1501.73,1098,231
0.0885758,0.6590143,0.0975883,2.16501933,2.0148,1.2,1482.41,1372.495,1218,252
0.0346118,0.660909,0.0755865,2.075266257,1.100247,2,1461.87,1244.689,981,285
0.0139623,0.8216245,0.0739803,2.119048244,2.282667,2.4,1404.319,1300.831,1036,346
