Horizontalstrahlung;Oststrahlung;Südstrahlung;Weststrahlung;Nordstrahlung;Außentemperatur;Rel. Feuchte
0;0;0;0;0;6.5;83.2
0;0;0;0;0;6.5;89.6
0;0;0;0;0;6.5;89.9
0;0;0;0;0;6.5;91.1
57;335;29;24;24;7.5;85.9
206;595;177;61;61;9.6;81.3
383;725;382;93;93;12.1;73
544;686;571;114;114;14.8;53.8
495;367;462;154;154;16.7;47.9
466;231;396;168;168;17.8;43.9
522;174;458;203;174;19;40.6
422;157;353;254;157;19.5;39.8
248;117;152;151;117;18.8;39.3
197;94;117;133;94;17.9;38.3
199;75;153;321;75;17.2;42.1
119;46;86;425;46;16.1;46.6
6;3;3;0;3;14.6;54.5
0;0;0;0;0;13.6;61.3
0;0;0;0;0;12.5;64.2
0;0;0;0;0;11.5;66
0;0;0;0;0;10.4;73.6
0;0;0;0;0;9.4;78.9
0;0;0;0;0;8.2;84
0;0;0;0;0;7;88.3
0;0;0;0;0;6.3;90.3
0;0;0;0;0;5.7;93
0;0;0;0;0;5.2;93.1
0;0;0;0;0;5.1;96.5
59;350;29;24;24;5.9;92.7
193;581;169;57;57;7.6;90.9
352;664;348;85;85;9.7;81.1
476;567;474;116;116;11.7;65.8
587;470;620;128;128;13.5;57
626;283;646;147;147;15.2;51.9
642;148;666;202;148;16.6;47.9
590;140;606;373;140;17.5;42.6
540;115;567;560;115;18;43.1
411;97;416;642;97;18;46.1
255;69;230;585;69;17;48.6
112;37;79;460;37;15.4;52.1
2;1;1;0;1;13.5;57.1
0;0;0;0;0;12.6;66.5
0;0;0;0;0;11.4;72.2
0;0;0;0;0;10.2;75.6
0;0;0;0;0;9.1;81
0;0;0;0;0;7.9;81.1
0;0;0;0;0;7.2;86
0;0;0;0;0;6.4;91.4
0;0;0;0;0;6;91.9
0;0;0;0;0;5.5;90.9
0;0;0;0;0;5.2;94.6
0;0;0;0;0;5.1;92.1
61;334;28;25;25;6.1;83
192;541;158;56;56;8;73.4
338;592;315;89;89;10.3;64.4
498;613;508;111;111;12.8;52.2
570;443;577;133;133;15;45.9
633;286;661;145;145;17.3;38.9
623;154;632;205;154;18.9;33.8
582;148;584;368;148;19.9;30.8
502;132;494;492;132;20.3;31.7
364;111;321;476;111;19.9;32.8
212;83;155;318;83;18.5;34.5
83;38;50;172;38;16.5;40.5
1;1;1;0;1;14.3;49.8
0;0;0;0;0;13.1;63.4
0;0;0;0;0;11.8;64.9
0;0;0;0;0;10.6;70.5
0;0;0;0;0;9.3;76.3
0;0;0;0;0;8;78.4
0;0;0;0;0;7.3;93.8
0;0;0;0;0;6.6;97
0;0;0;0;0;6;97
0;0;0;0;0;5.6;98.2
0;0;0;0;0;4.6;98.2
0;0;0;0;0;5.1;98.2
26;12;14;14;14;5.7;98.2
76;45;40;39;39;6.2;93
141;86;78;71;71;6.8;92.6
196;116;112;97;97;7.4;88.6
246;137;145;119;119;8;84.1
246;127;144;121;121;8.4;83.3
260;126;154;129;126;8.7;83.3
243;119;143;131;119;8.9;76.8
207;102;119;119;102;8.9;80.7
167;83;94;102;83;8.9;80.7
103;52;55;62;52;8.6;79.7
45;23;23;24;23;8.1;77.3
1;1;1;0;1;7.6;83.5
0;0;0;0;0;7.5;78.9
0;0;0;0;0;7.4;84.7
0;0;0;0;0;7.4;83.8
0;0;0;0;0;7.2;87.4
0;0;0;0;0;7.2;88.3
0;0;0;0;0;7.5;89.3
0;0;0;0;0;7.9;91.5
0;0;0;0;0;8.1;91.8
0;0;0;0;0;8.3;93.4
0;0;0;0;0;8.4;93.7
0;0;0;0;0;8.5;91.6
33;20;17;17;17;9.1;90.3
113;91;62;55;55;10.2;87
169;113;96;82;82;11.3;83.1
241;152;144;114;114;12.4;70.6
289;164;175;136;136;13.4;64
356;182;251;157;157;14.5;58.2
364;158;258;170;158;15.6;54.1
331;147;230;190;147;16.3;50.8
295;132;201;202;132;16.7;49.1
206;98;120;137;98;16.7;50.3
138;67;77;103;67;16.2;49.9
54;28;28;34;28;15.4;54
2;1;1;0;1;14.4;70.5
0;0;0;0;0;13.5;83
0;0;0;0;0;13.1;86.8
0;0;0;0;0;12;86.8
0;0;0;0;0;11.8;86.8
0;0;0;0;0;11.1;86.8
0;0;0;0;0;10.1;86.9
0;0;0;0;0;9;86.1
0;0;0;0;0;8.5;90.1
0;0;0;0;0;8;95
0;0;0;0;0;7.7;94
0;0;0;0;0;7.6;92.9
44;65;22;22;22;8.1;90
142;218;93;62;62;9.1;83.3
83;44;44;44;44;9.2;83.6
208;128;122;100;100;9.9;73.8
423;286;340;156;156;11.3;66.4
380;191;272;161;161;12.1;61.2
198;98;114;100;98;11.6;77.3
317;141;218;182;141;12.4;83.1
153;79;84;84;79;12.2;68.7
251;107;169;219;107;12.3;61.4
263;85;213;530;85;12.4;59
135;46;80;493;46;12.1;60.9
10;5;5;1;5;11.5;64.3
0;0;0;0;0;10.2;69.6
0;0;0;0;0;8.9;72.1
0;0;0;0;0;7.7;72.1
0;0;0;0;0;6.4;73.8
0;0;0;0;0;5.2;79.9
0;0;0;0;0;4;88.4
0;0;0;0;0;2.7;92.2
0;0;0;0;0;2.1;88.5
0;0;0;0;0;1.4;89
0;0;0;0;0;0.9;89.7
0;0;0;0;0;0.9;91.7
67;319;28;28;29;1.7;90.6
194;473;144;64;64;3.1;85.3
380;668;342;94;94;5.1;79.6
513;608;495;116;116;6.8;67.2
634;488;635;131;131;8.5;59.1
667;288;672;145;145;9.9;52.9
650;152;639;210;152;10.8;47.9
592;153;568;373;153;11.3;45.9
520;136;488;502;136;11.5;45.3
359;116;296;446;116;11.2;48.2
233;88;162;352;88;10.4;48.7
118;40;68;435;40;9.4;52.8
5;2;2;0;2;8.1;57.4
0;0;0;0;0;7;63.7
0;0;0;0;0;6;67.1
0;0;0;0;0;4.9;74.2
0;0;0;0;0;3.8;76.9
0;0;0;0;0;2.7;79
0;0;0;0;0;2;82.7
0;0;0;0;0;1.2;80.9
0;0;0;0;0;0.8;82.1
0;0;0;0;0;0.4;83.3
0;0;0;0;0;0;88.8
0;0;0;0;0;0;82.4
62;170;28;28;29;0.8;82.6
188;326;121;73;73;2.3;79
364;595;312;98;98;4.2;74.2
485;542;445;125;125;6;66.1
537;384;476;155;155;7.5;58.3
572;263;510;170;170;8.6;53.8
583;172;523;215;172;9.4;53.2
535;164;471;329;164;9.9;51.9
471;145;406;419;145;10.1;49.5
373;116;307;470;116;10;52.3
208;83;141;295;83;9.3;55.6
72;35;37;65;35;8.1;63.4
2;1;1;0;1;6.9;73.1
0;0;0;0;0;6.6;82.4
0;0;0;0;0;6.3;85.7
0;0;0;0;0;6.1;87
0;0;0;0;0;5.8;86.3
0;0;0;0;0;5.5;90.5
0;0;0;0;0;5.7;89.3
0;0;0;0;0;5.9;89.8
0;0;0;0;0;6;89.1
0;0;0;0;0;6.1;90
0;0;0;0;0;6.2;93
1;0;0;0;0;6.2;98.2
47;41;23;23;24;7;97
152;189;89;66;66;8.2;94.8
247;235;160;105;105;9.9;88.4
285;208;188;127;127;11;73.7
369;229;260;152;152;12.2;65.7
407;200;293;166;166;13.3;59.9
440;174;322;192;174;14.1;57
354;155;244;203;155;14.6;54.1
327;138;225;231;138;15;52.4
221;105;128;149;105;14.8;49.1
138;68;76;98;68;14.1;52.1
56;29;29;34;29;13.5;54.6
2;1;1;0;1;12.6;56.7
0;0;0;0;0;11.8;63.3
0;0;0;0;0;10.8;81.4
0;0;0;0;0;10;86.9
0;0;0;0;0;9.2;86.9
0;0;0;0;0;8.3;87
0;0;0;0;0;7.2;87
0;0;0;0;0;6;83.4
0;0;0;0;0;5.5;87.1
0;0;0;0;0;4.8;88.1
0;0;0;0;0;4.3;87.8
0;0;0;0;0;4.3;87.9
59;103;28;28;29;5;87.8
150;179;87;66;66;6;85.7
245;229;157;106;106;7.1;87.7
366;318;275;140;140;8.3;78.8
484;323;385;166;166;9.6;72.8
529;250;425;184;184;10.7;65.1
532;186;428;217;186;11.6;64.4
516;178;413;307;178;12.1;57
445;157;345;359;157;12.4;54.1
354;132;258;373;132;12.4;50.7
242;91;161;358;91;11.9;53.7
102;45;54;204;45;11.1;58.4
6;3;3;0;3;10;62.3
0;0;0;0;0;9.1;69
0;0;0;0;0;8.2;75.3
0;0;0;0;0;7.3;77.9
0;0;0;0;0;6.4;84.2
0;0;0;0;0;5.5;85
0;0;0;0;0;4.9;85
0;0;0;0;0;4.4;89.5
0;0;0;0;0;4.1;96.2
0;0;0;0;0;3.8;95.8
0;0;0;0;0;3.5;97.2
1;0;1;1;0;3.5;98.9
91;422;32;32;39;4.9;92.7
232;573;157;66;66;6.7;84.3
387;618;317;102;102;8.7;79.1
510;564;454;123;123;10.6;64.4
626;466;592;142;142;12.4;55.8
681;289;653;154;154;13.8;50.7
681;156;643;220;156;15.2;44.8
644;147;602;399;147;16.2;40.9
560;132;518;552;132;16.6;40.8
426;110;361;596;110;16.5;41.3
278;79;206;576;79;15.6;43.3
129;44;63;438;44;14;47.8
8;4;4;0;3;12.7;52.3
0;0;0;0;0;11.8;63
0;0;0;0;0;11;63
0;0;0;0;0;10.1;67.2
0;0;0;0;0;9.2;72.6
0;0;0;0;0;8.4;76.6
0;0;0;0;0;7.8;77.8
0;0;0;0;0;7.1;80.1
0;0;0;0;0;6.7;80.5
0;0;0;0;0;6.4;81.1
0;0;0;0;0;6.1;80.2
1;0;0;0;0;6.1;81.6
44;27;23;23;23;6.6;82.6
119;85;63;59;59;7.5;81.8
208;147;118;98;98;8.5;78.7
292;212;191;130;130;9.5;69.4
352;215;238;153;153;10.4;66
362;183;247;159;159;11.1;61.4
360;158;245;170;158;11.6;62.7
339;150;228;194;150;11.9;59.9
289;134;172;176;134;12.1;60
227;107;131;155;107;12;58.1
146;71;79;104;71;11.6;58.8
66;34;34;44;34;10.9;60.6
3;1;1;0;1;10.2;67.9
0;0;0;0;0;9.3;86.5
0;0;0;0;0;9.1;83.3
0;0;0;0;0;8.6;87
0;0;0;0;0;8;87
0;0;0;0;0;7.4;83.3
0;0;0;0;0;7.2;87.2
0;0;0;0;0;6.8;89
0;0;0;0;0;6.8;83.4
0;0;0;0;0;6.7;87
0;0;0;0;0;6.6;89.2
1;0;1;1;0;6.7;94.6
17;4;9;9;9;7;90.6
96;59;51;49;49;7.9;83.3
139;81;75;71;71;8.7;83.3
211;126;120;102;102;9.7;65
502;347;416;163;163;11.9;55.3
464;223;359;173;173;13.3;50.9
582;180;494;223;180;14.9;45.5
448;167;343;267;167;15.8;44.2
334;135;227;238;135;16;42.4
440;126;356;585;126;16.6;41.5
381;92;274;838;92;16.9;41.4
185;49;75;722;49;16.3;42.2
18;9;9;8;9;15;48.4
0;0;0;0;0;13.7;58.1
0;0;0;0;0;12.9;59.8
0;0;0;0;0;11.8;67.3
0;0;0;0;0;10.8;72.3
0;0;0;0;0;9.7;71.4
0;0;0;0;0;8.6;72.4
0;0;0;0;0;7.4;81.4
0;0;0;0;0;6.7;85.9
0;0;0;0;0;6;92.9
0;0;0;0;0;5.5;92.8
2;0;1;1;1;5.5;95.7
106;472;38;38;50;6.8;88.5
217;418;134;75;75;8.1;81.9
393;603;307;105;105;10;74.3
489;511;413;137;137;11.6;64.5
563;387;469;167;167;12.9;60.7
396;192;277;160;160;13.2;56.3
580;177;490;221;177;13.8;53.3
540;170;449;330;170;14.4;50.5
468;155;373;401;155;14.7;50
345;128;243;360;128;14.3;50.2
299;91;207;577;91;13.8;54
204;65;84;648;65;13.3;55.6
17;9;9;6;9;12;59.4
0;0;0;0;0;11.2;66.5
0;0;0;0;0;10.4;69.7
0;0;0;0;0;9.5;72.3
0;0;0;0;0;8.7;77.3
0;0;0;0;0;7.9;83
0;0;0;0;0;7.7;84.6
0;0;0;0;0;7.6;84.2
0;0;0;0;0;7.5;83.2
0;0;0;0;0;7.5;86.9
0;0;0;0;0;7.4;91.3
3;0;1;1;1;7.5;95.6
95;363;36;36;47;9;89.9
213;340;124;82;82;10.6;79.5
316;350;213;122;122;12.3;71.8
477;464;378;143;143;14.1;57.2
533;364;437;164;164;16.1;46
544;250;425;185;185;17.7;44.1
489;175;378;204;175;18.5;40.8
520;177;402;307;177;19.4;36.3
418;154;308;330;154;19.6;34.6
324;129;211;296;129;19.4;44.6
190;84;110;197;84;18.6;36.7
91;43;45;87;43;17.3;36.4
3;2;2;0;1;15.9;40.4
0;0;0;0;0;14;48.4
0;0;0;0;0;12.6;50.9
0;0;0;0;0;11.1;53.2
0;0;0;0;0;9.6;56.3
0;0;0;0;0;8.1;59.5
0;0;0;0;0;6.4;68.7
0;0;0;0;0;4.7;75.9
0;0;0;0;0;3.7;84
0;0;0;0;0;2.7;89
0;0;0;0;0;2;94.8
3;0;2;2;1;1.9;95.7
138;677;37;37;60;3.7;87.5
320;845;190;62;62;5.8;75.8
501;846;385;82;82;8;71
655;728;557;101;101;10.1;57.7
763;532;682;115;115;11.9;51.3
824;293;751;123;123;13.4;47.4
834;124;763;216;124;14.6;42.6
786;118;708;464;118;15.5;40.3
687;106;596;671;106;15.8;36.4
545;88;436;812;88;15.6;35.7
372;68;246;851;68;14.6;36.9
188;44;59;748;44;13.3;39.7
12;6;6;0;5;11.5;45.7
0;0;0;0;0;9.9;55.3
0;0;0;0;0;8.2;62.7
0;0;0;0;0;6.5;66.4
0;0;0;0;0;4.9;68.4
0;0;0;0;0;3.2;75.2
0;0;0;0;0;2.2;79.5
0;0;0;0;0;0.9;84.5
0;0;0;0;0;0.1;86.7
0;0;0;0;0;-0.7;90.6
0;0;0;0;0;-1.3;93.1
4;0;2;2;1;-1.5;91.1
125;555;38;38;59;-0.5;86.1
294;750;172;64;64;0.8;83
467;777;357;86;86;2.2;78.1
611;678;520;106;106;3.5;68.5
726;505;640;123;123;4.7;63.7
784;286;704;131;131;5.6;58.7
782;132;716;218;132;6.2;55.4
736;127;663;445;127;6.5;58.3
647;111;561;636;111;6.5;60.6
512;92;407;758;92;6.2;62.7
351;70;229;791;70;5.5;67.5
176;45;55;664;45;4.3;73.6
14;7;7;2;6;2.9;78
0;0;0;0;0;1.7;83
0;0;0;0;0;0.6;88.4
0;0;0;0;0;-0.6;93
0;0;0;0;0;-1.7;99.4
0;0;0;0;0;-1.8;98.8
0;0;0;0;0;-1.5;97.8
0;0;0;0;0;-1.3;97.4
0;0;0;0;0;-1.1;91.9
0;0;0;0;0;-1;89.8
0;0;0;0;0;-0.9;89.7
4;0;2;2;1;-0.7;89.9
109;395;40;40;55;1.1;83.2
259;571;151;74;74;3.5;76.3
390;556;286;116;116;5.7;69.8
502;483;388;144;144;7.8;58.4
587;396;475;165;165;9.7;51.2
645;274;560;168;168;11.3;44.3
678;162;596;227;162;12.6;41.6
669;150;591;414;150;13.6;39.3
592;135;504;571;135;14.1;37.7
459;113;360;643;113;14.2;35.5
330;77;214;713;77;13.5;38.8
169;53;59;568;53;12.6;43.3
18;9;9;6;9;11;45.6
0;0;0;0;0;9.9;54.3
0;0;0;0;0;8.8;57.1
0;0;0;0;0;7.7;60.1
0;0;0;0;0;6.6;73.3
0;0;0;0;0;5.5;77.6
0;0;0;0;0;4.2;76.2
0;0;0;0;0;2.8;82.5
0;0;0;0;0;2.1;84.6
0;0;0;0;0;1.3;86.7
0;0;0;0;0;0.8;87.6
5;0;3;3;2;0.8;94.5
125;501;41;41;63;2.4;85.4
253;527;147;80;80;4.1;76.2
367;479;255;115;115;5.7;72.5
506;509;404;143;143;7.2;60.7
615;427;519;158;158;8.8;54.8
743;297;655;164;164;10.3;48.4
671;164;584;228;164;11.2;45.5
605;168;491;364;168;11.7;43.1
496;155;381;425;155;11.8;39.9
422;122;317;545;122;11.6;36.6
290;88;183;544;88;10.9;39.2
167;50;53;573;50;9.8;44.1
24;12;12;14;13;8.5;50.7
0;0;0;0;0;7.6;59.3
0;0;0;0;0;6.7;60.8
0;0;0;0;0;5.8;66.6
0;0;0;0;0;5;68.7
0;0;0;0;0;4.1;73.4
0;0;0;0;0;3.9;74.1
0;0;0;0;0;3.7;76
0;0;0;0;0;3.6;78.8
0;0;0;0;0;3.5;74.6
0;0;0;0;0;3.4;76.9
4;0;2;2;1;3.6;74.2
75;90;37;37;40;4.7;70.4
221;335;121;84;84;6.6;64
368;470;252;118;118;8.6;58.3
520;520;411;145;145;10.8;47.8
623;431;522;157;157;12.8;41.4
670;274;576;163;163;14.3;36.9
580;178;468;223;178;15.4;33.6
452;170;329;268;170;15.7;32.9
438;157;313;345;157;15.9;32.6
501;126;371;667;126;16.3;30
225;92;132;286;92;15.3;32
124;54;54;222;54;14;34.4
4;2;2;0;2;12.8;39.2
0;0;0;0;0;11.4;49.2
0;0;0;0;0;10;53.5
0;0;0;0;0;8.6;56.9
0;0;0;0;0;7.2;60.4
0;0;0;0;0;5.8;64.4
0;0;0;0;0;4.3;69.6
0;0;0;0;0;2.6;76.9
0;0;0;0;0;1.6;80.9
0;0;0;0;0;0.7;86.3
0;0;0;0;0;0;86
7;0;4;4;3;0;82.6
146;588;43;43;72;1.5;79.5
281;606;154;77;77;3;73.7
423;615;299;110;110;4.6;71
590;625;478;127;127;6.2;59.2
684;474;579;154;154;7.6;53.9
641;270;518;178;178;8.4;55.2
671;167;571;231;167;9.1;50.5
621;169;513;382;169;9.4;48.4
494;157;372;419;157;9.3;51.1
418;124;293;502;124;9;55.8
297;94;174;498;94;8.3;57.9
122;53;53;220;53;7.1;60.3
18;9;9;5;8;5.8;65.1
0;0;0;0;0;4.8;67.9
0;0;0;0;0;3.9;73.8
0;0;0;0;0;2.9;75.8
0;0;0;0;0;1.9;82.3
0;0;0;0;0;1;81.7
0;0;0;0;0;1;79.4
0;0;0;0;0;1.2;77.8
0;0;0;0;0;1.3;79
0;0;0;0;0;1.4;82.4
0;0;0;0;0;1.5;84.8
6;0;3;3;2;1.7;84.6
96;177;44;44;52;3.2;80.1
211;284;115;88;88;5;74.9
266;233;158;114;114;6.2;69.8
426;357;295;152;152;8;57
618;421;502;167;167;10.2;48.8
607;261;482;180;180;11.7;44.2
699;163;593;233;163;13.2;37.9
705;162;587;428;162;14.3;35.3
513;160;383;435;160;14.8;32.7
310;127;189;269;127;14.2;34.6
179;83;99;163;83;13.4;36.3
77;39;39;50;39;12.2;37.6
4;2;2;0;2;11;42.2
0;0;0;0;0;9.9;55.5
0;0;0;0;0;8.8;56.9
0;0;0;0;0;7.7;61.4
0;0;0;0;0;6.6;64.4
0;0;0;0;0;5.6;69.3
0;0;0;0;0;4.1;72.2
0;0;0;0;0;2.5;78.3
0;0;0;0;0;1.6;83.9
0;0;0;0;0;0.8;88.5
0;0;0;0;0;0.2;90.7
8;0;4;4;3;0.3;89.3
74;61;37;37;38;1.1;88.3
28;12;15;15;15;0.8;89.1
186;116;100;91;91;1.7;82.6
275;169;157;129;129;2.7;77
536;353;409;174;174;4.4;67.8
501;230;367;179;179;5.5;65.7
733;170;615;243;170;7;57
533;180;389;312;180;7.6;54.6
496;161;365;416;161;7.9;53.5
525;118;381;726;118;8.2;52
393;82;223;833;82;8.2;52.8
227;56;56;782;67;7.7;58.5
31;16;16;93;32;6.6;64.1
0;0;0;0;0;5.6;71.9
0;0;0;0;0;4.5;74.9
0;0;0;0;0;3.4;76.1
0;0;0;0;0;2.4;81.5
0;0;0;0;0;1.3;83.8
0;0;0;0;0;0.9;86
0;0;0;0;0;0.4;84.8
0;0;0;0;0;0.1;84
0;0;0;0;0;-0.1;87
0;0;0;0;0;-0.3;88.5
2;0;1;1;1;-0.3;86
21;6;11;11;11;-0.1;80.6
24;10;13;13;13;0;85.3
46;22;24;25;25;0.2;87.6
219;127;121;108;108;1.3;83.7
335;185;195;156;156;2.7;74.4
322;162;188;152;152;3.6;74.9
503;178;368;210;178;5;69.2
318;141;203;180;141;5.4;72
410;155;282;315;155;5.9;75.1
186;92;101;113;92;5.7;78.9
203;89;110;206;89;5.6;79.4
110;52;52;129;53;5.1;87.2
23;12;12;11;12;3.8;98.2
0;0;0;0;0;4.5;97
0;0;0;0;0;5;98.2
0;0;0;0;0;5.4;98.2
0;0;0;0;0;5.7;98
0;0;0;0;0;5.9;92.9
0;0;0;0;0;6.2;90.1
0;0;0;0;0;6.5;88.8
0;0;0;0;0;6.5;84.5
0;0;0;0;0;6.5;87
0;0;0;0;0;6.2;88
8;0;4;4;3;7;90.5
96;140;43;43;50;8.5;84.9
75;39;40;40;40;8.8;84.4
238;193;138;107;107;10.3;83.2
420;345;284;152;152;12.4;83.1
307;169;177;144;144;13.1;83.1
364;181;235;160;160;13.9;65.4
249;123;141;126;123;14.1;51.9
152;79;82;81;79;13.5;53.1
244;118;136;141;118;13.7;53.3
248;117;136;164;117;14;52.3
151;75;79;100;75;13.6;53.8
74;38;38;45;38;13.2;60.5
16;9;9;3;7;12.4;63.1
0;0;0;0;0;11.7;66.6
0;0;0;0;0;11.3;67.4
0;0;0;0;0;10.9;64.3
0;0;0;0;0;10.5;68.1
0;0;0;0;0;10;83.2
0;0;0;0;0;9.7;86.9
0;0;0;0;0;9.2;86.9
0;0;0;0;0;9;88.5
0;0;0;0;0;8.7;90.1
0;0;0;0;0;8.5;90.5
5;0;3;3;2;8.6;96.1
56;31;29;29;29;9.4;93.8
176;171;92;81;81;10.7;87.9
302;268;176;125;125;12.6;76.3
359;260;224;148;148;13.7;70.3
507;317;358;177;177;15.8;58.5
684;278;553;175;175;18.3;53.4
469;182;315;205;182;19.1;54.8
419;169;274;237;169;19.5;54
342;150;212;230;150;19.5;50.1
320;130;191;276;130;19.3;49.8
301;99;163;476;99;19.1;50.5
195;58;58;597;74;18.4;54.5
62;26;26;360;100;17.1;57.5
0;0;0;0;0;15.6;66.7
0;0;0;0;0;14.5;71.7
0;0;0;0;0;13.6;70.8
0;0;0;0;0;12.6;71.4
0;0;0;0;0;11.7;75.6
0;0;0;0;0;11;77.9
0;0;0;0;0;10.3;83.7
0;0;0;0;0;9.9;88.3
0;0;0;0;0;9.5;90.4
0;0;0;0;0;9.2;91.1
14;2;7;7;6;9.6;96.4
146;454;49;49;79;11.5;90
297;593;145;83;83;13.6;80.6
448;622;292;114;114;16.1;72.6
600;610;454;131;131;18.8;52
696;466;556;154;154;21.2;43.2
755;284;622;158;158;23.2;37.4
773;154;640;240;154;24.8;32.5
733;145;595;442;145;25.9;30.5
644;134;495;606;134;26.4;30
498;113;342;677;113;26.2;29.8
352;92;190;680;92;25.3;33.5
188;56;56;576;74;23.7;36.6
57;24;24;323;92;21.7;42.6
0;0;0;0;0;19.7;54.8
0;0;0;0;0;18;55.8
0;0;0;0;0;16.3;63.2
0;0;0;0;0;14.5;66.7
0;0;0;0;0;13.2;74
0;0;0;0;0;12.1;78.7
0;0;0;0;0;11;80.5
0;0;0;0;0;10.4;87.3
0;0;0;0;0;9.7;94.2
0;0;0;0;0;9.3;95
15;2;8;8;6;9.6;96.2
142;372;51;51;76;11.3;84.2
309;615;147;85;85;13.3;78.7
459;641;295;111;111;15.5;71.1
533;483;373;154;154;17.5;57.1
682;450;532;159;159;19.7;49.9
689;273;551;169;169;21.2;45.7
703;169;565;239;169;22.4;43.5
690;156;544;415;156;23.2;41.7
561;158;399;477;158;23.4;41.4
470;128;314;590;128;23.2;41.6
294;97;155;457;97;22.2;46.9
147;62;62;253;69;20.5;55
41;20;20;113;42;18.7;65.4
0;0;0;0;0;16.9;81.1
0;0;0;0;0;16.1;85.3
0;0;0;0;0;15.3;88.8
0;0;0;0;0;14.5;93.5
0;0;0;0;0;13.7;95.6
0;0;0;0;0;13.6;94.5
0;0;0;0;0;13.3;98.2
0;0;0;0;0;13.7;96.8
0;0;0;0;0;13.7;98.2
0;0;0;0;0;13.7;96.9
4;0;2;2;1;13.8;96.9
22;7;12;12;12;14.2;96.9
43;20;23;23;23;14.6;96.9
67;34;35;36;36;15.1;95.7
84;44;45;45;45;15.5;93.2
88;47;47;47;47;15.8;91.5
100;53;53;53;53;16.1;90
94;50;50;50;50;16.2;89.4
83;44;44;44;44;16.2;88.9
76;41;40;40;41;16.3;88.8
62;33;33;32;33;15.5;93.2
43;23;23;20;23;16.2;89.2
23;13;13;8;12;16.1;90
7;4;4;0;3;15.6;91.9
0;0;0;0;0;15.3;92.9
0;0;0;0;0;14.5;97.4
0;0;0;0;0;12.8;98.8
0;0;0;0;0;13.9;96.4
0;0;0;0;0;13.3;98.2
0;0;0;0;0;12.6;98.2
0;0;0;0;0;12.6;96.9
0;0;0;0;0;12.3;96.9
0;0;0;0;0;12;96.9
0;0;0;0;0;11.9;98.2
3;0;2;2;1;11.9;98.2
36;15;19;19;19;12.3;96.9
90;49;47;47;47;13;93.8
107;58;56;56;56;13.4;92.4
224;129;123;110;110;14.2;83.1
261;142;146;127;127;15.1;81.3
342;171;197;161;161;16.2;73.6
348;163;201;170;163;17;69.1
283;137;160;152;137;17.4;69.8
266;128;148;155;128;17.6;69.4
244;116;133;159;116;17.7;68.4
165;80;85;112;80;17.5;70.2
79;40;40;48;41;16.9;66.7
26;14;14;13;13;16.1;82.9
0;0;0;0;0;15.4;82.9
0;0;0;0;0;14.4;83
0;0;0;0;0;13.4;83
0;0;0;0;0;12.5;87.2
0;0;0;0;0;12;88.3
0;0;0;0;0;11.3;91.3
0;0;0;0;0;10.4;95.4
0;0;0;0;0;10.1;94.9
0;0;0;0;0;9.9;98.2
0;0;0;0;0;9.6;95.2
14;2;8;8;6;9.9;94.3
87;63;43;43;45;10.7;93.1
161;115;82;78;78;11.6;93.3
203;127;109;100;100;12.2;93.4
211;120;115;105;105;12.1;91.7
313;172;178;148;148;13.2;83.2
263;134;148;129;129;13.5;77.9
233;117;129;119;117;13.6;78
211;107;116;113;107;13.5;83
200;101;108;111;101;12.5;93.6
102;53;54;54;53;13;84.8
75;40;40;39;40;12.7;84.5
47;25;25;22;25;12.3;84.5
11;6;6;0;5;11.8;86.1
0;0;0;0;0;11.3;89
0;0;0;0;0;11.1;88.8
0;0;0;0;0;10.9;92.8
0;0;0;0;0;10.7;93.9
0;0;0;0;0;10.3;98.2
0;0;0;0;0;10.7;96.9
0;0;0;0;0;11;98.2
0;0;0;0;0;11.2;98.2
0;0;0;0;0;11.4;98.2
0;0;0;0;0;11.5;97.9
14;1;7;7;6;12;97
55;29;29;29;29;12.7;88.7
149;100;76;73;73;13.9;84.2
279;225;158;125;125;16;82.9
347;242;209;149;149;17.9;62.1
646;419;482;172;172;21.3;48.4
890;315;698;170;170;25.1;35.5
555;185;390;224;185;26.2;34.8
382;165;239;216;165;26.4;37.2
442;163;288;335;163;26.8;35.4
389;140;233;386;140;26.9;35.1
226;96;115;229;96;26.1;33.5
78;40;40;47;41;24.6;34.7
16;9;9;2;7;23.1;35.8
0;0;0;0;0;21.7;38.3
0;0;0;0;0;19.7;47.8
0;0;0;0;0;17.7;53.2
0;0;0;0;0;15.6;59.2
0;0;0;0;0;13.6;67.7
0;0;0;0;0;11.4;75.2
0;0;0;0;0;8.8;85.5
0;0;0;0;0;7.5;92.6
0;0;0;0;0;6.6;98.4
0;0;0;0;0;6.4;95.6
51;304;22;22;104;7;92.7
182;576;54;54;104;8.5;85.9
351;727;145;80;80;10.3;76.1
517;740;312;105;105;12.4;68.4
660;649;462;126;126;14.4;55.6
753;486;571;139;139;16.7;48.9
808;280;633;147;147;18.6;43.4
814;146;639;241;146;20.1;39.4
762;143;583;451;143;21.1;37.1
676;126;484;625;126;21.5;32.5
541;107;338;729;107;21.5;32.5
389;81;174;765;81;20.7;32.8
218;57;57;654;93;19.3;35.6
73;28;28;418;128;17.4;38.5
0;0;0;0;0;15.4;44.7
0;0;0;0;0;13.2;57.7
0;0;0;0;0;11.1;64.9
0;0;0;0;0;9.7;69.6
0;0;0;0;0;8.3;76.5
0;0;0;0;0;6.9;85
0;0;0;0;0;5.6;93.7
