Horizontalstrahlung;Oststrahlung;Südstrahlung;Weststrahlung;Nordstrahlung;Außentemperatur;Rel. Feuchte
158;471;590;39;39;1.5;85.1
259;390;774;56;56;4.2;75.9
322;219;882;64;64;6.2;71.4
339;68;913;127;68;7.6;69.3
302;64;853;328;64;8.2;71
212;47;700;458;47;8;69.7
100;31;456;453;31;6.8;73.5
2;1;0;0;1;5;80.4
0;0;0;0;0;4.7;82
0;0;0;0;0;4.5;80.9
0;0;0;0;0;4.3;82.1
0;0;0;0;0;4;85.1
0;0;0;0;0;3.8;88.4
0;0;0;0;0;3.6;92.1
0;0;0;0;0;3.3;93.4
0;0;0;0;0;3.1;96.9
0;0;0;0;0;2.9;97.3
0;0;0;0;0;2.7;97
0;0;0;0;0;2.6;96.1
0;0;0;0;0;2.5;95.4
0;0;0;0;0;2.4;97.5
0;0;0;0;0;2.4;99.3
0;0;0;0;0;2.3;99.9
5;0;0;3;3;2.6;100
29;12;11;16;16;3.2;94.8
40;19;17;21;21;3.7;95.3
128;69;95;63;63;5;88.8
131;64;99;66;64;5.8;84.3
280;78;681;279;78;7.5;76.4
191;49;596;393;49;8.2;72.4
118;42;421;418;42;8.2;76.8
1;1;0;0;1;7.2;79.9
0;0;0;0;0;6.7;80
0;0;0;0;0;6.2;84.4
0;0;0;0;0;5.7;85
0;0;0;0;0;5.3;89.7
0;0;0;0;0;4.7;92.9
0;0;0;0;0;4.2;94.7
0;0;0;0;0;3.7;94.6
0;0;0;0;0;3;96.9
0;0;0;0;0;2.3;98.7
0;0;0;0;0;1.6;100
0;0;0;0;0;1.2;100
0;0;0;0;0;0.8;100
0;0;0;0;0;0.5;100
0;0;0;0;0;0.2;100
0;0;0;0;0;0;99.8
4;0;0;2;2;0.1;99.9
21;8;7;12;12;0.4;100
50;25;24;26;26;0.8;100
46;24;21;25;25;0.9;98.9
37;20;16;20;20;0.9;97.9
299;90;680;286;90;2.6;96.2
229;53;733;480;53;3.3;89.9
122;37;516;512;37;3.4;89.8
3;2;0;0;2;2.7;93.7
0;0;0;0;0;2.1;93.3
0;0;0;0;0;1.6;95.4
0;0;0;0;0;1;96.6
0;0;0;0;0;0.4;99.9
0;0;0;0;0;-0.1;99.2
0;0;0;0;0;-0.7;94.6
0;0;0;0;0;-1.3;91.9
0;0;0;0;0;-1.7;91.4
0;0;0;0;0;-2.1;92.7
0;0;0;0;0;-2.5;92.9
0;0;0;0;0;-2.7;94.2
0;0;0;0;0;-2.9;95.1
0;0;0;0;0;-3.1;98.4
0;0;0;0;0;-3.2;97.5
0;0;0;0;0;-3.3;97.3
20;9;9;10;10;-2.4;91.9
160;467;575;41;41;0.9;83.1
253;381;745;54;54;3.5;73.7
313;216;847;62;62;5.5;66.9
344;69;909;123;69;6.9;63
309;64;854;325;64;7.6;60.4
228;51;728;476;51;7.6;61.8
112;31;499;494;31;6.4;67.4
3;2;0;0;2;4.6;71.9
0;0;0;0;0;4;72.1
0;0;0;0;0;3.4;74.3
0;0;0;0;0;2.7;75.1
0;0;0;0;0;2.1;79
0;0;0;0;0;1.5;81.2
0;0;0;0;0;0.9;83.3
0;0;0;0;0;0.2;85.4
0;0;0;0;0;-0.5;89.8
0;0;0;0;0;-1.4;94.1
0;0;0;0;0;-2.2;96.9
0;0;0;0;0;-2.7;99.2
0;0;0;0;0;-3.1;98.8
0;0;0;0;0;-3.4;100
0;0;0;0;0;-3.7;100
0;0;0;0;0;-3.8;100
49;325;269;21;21;-2.5;100
156;448;548;42;42;-0.4;94.2
258;389;757;53;53;2;84.9
317;219;845;64;64;4;78
335;65;881;117;65;5.4;70.3
296;61;813;309;61;6.1;69.8
219;48;695;453;48;6.2;70
110;33;467;463;33;5.3;71.3
3;2;0;0;2;3.6;81.9
0;0;0;0;0;3.1;83
0;0;0;0;0;2.6;81.9
0;0;0;0;0;2.1;82.9
0;0;0;0;0;1.6;86.4
0;0;0;0;0;1.1;86.7
0;0;0;0;0;0.7;88.3
0;0;0;0;0;0.2;91.2
0;0;0;0;0;-0.1;93
0;0;0;0;0;-0.4;95
0;0;0;0;0;-0.7;95.5
0;0;0;0;0;-0.8;96.8
0;0;0;0;0;-0.9;98.4
0;0;0;0;0;-1;100
0;0;0;0;0;-1.1;100
0;0;0;0;0;-1.1;100
23;13;13;12;12;-0.5;100
51;28;28;27;27;-0.2;98.8
91;52;57;47;47;0.9;97.9
118;64;78;61;61;1.7;96.5
80;43;44;43;43;1.9;96.3
93;49;56;51;49;2.1;92.6
76;40;47;44;40;2.2;87.8
33;18;17;17;18;1.9;87.4
1;1;0;0;1;1.4;88.4
0;0;0;0;0;0.9;90.1
0;0;0;0;0;0.6;94.5
0;0;0;0;0;0.2;93
0;0;0;0;0;-0.1;94.6
0;0;0;0;0;-0.5;98.8
0;0;0;0;0;-0.9;97.8
0;0;0;0;0;-1.3;97
0;0;0;0;0;-1.8;98
0;0;0;0;0;-2;97.3
0;0;0;0;0;-2.4;98.8
0;0;0;0;0;-2.6;98.8
0;0;0;0;0;-2.8;98.7
0;0;0;0;0;-2.9;93.4
0;0;0;0;0;-3.1;91.9
0;0;0;0;0;-3;94.4
21;10;10;11;11;-2.5;92.4
68;44;46;36;36;-1.6;87.8
111;69;82;58;58;-0.6;81
128;72;93;67;67;0.1;77.3
126;66;87;68;66;0.6;72.4
115;61;79;67;61;0.9;70.6
78;42;50;47;42;0.9;70.1
37;20;20;20;20;0.5;71.1
2;1;0;0;1;-0.1;71.6
0;0;0;0;0;-0.7;73.4
0;0;0;0;0;-1.2;72.4
0;0;0;0;0;-1.7;76.4
0;0;0;0;0;-2.3;76.3
0;0;0;0;0;-2.8;79.9
0;0;0;0;0;-3.3;81.3
0;0;0;0;0;-3.8;84
0;0;0;0;0;-4.6;87.6
0;0;0;0;0;-5.4;91.2
0;0;0;0;0;-6.6;95.6
0;0;0;0;0;-6.6;91.1
0;0;0;0;0;-7;91.9
0;0;0;0;0;-7.3;89.6
0;0;0;0;0;-7.7;88.5
0;0;0;0;0;-7.6;91.2
18;9;10;12;12;-7.4;91.2
51;36;36;35;35;-7;88.4
61;41;40;41;41;-6.7;88.3
80;54;56;54;54;-6.5;88.3
93;62;67;63;62;-6.2;88.3
92;62;68;64;62;-6.1;88.3
76;51;57;55;51;-6.1;88.3
46;31;36;36;31;-6.2;88.3
3;2;0;0;2;-6.5;88.3
0;0;0;0;0;-7.1;75.7
0;0;0;0;0;-7.6;71.6
0;0;0;0;0;-8.1;73
0;0;0;0;0;-8.6;76.5
0;0;0;0;0;-9.1;78.4
0;0;0;0;0;-9.6;80.5
0;0;0;0;0;-10.1;79.4
0;0;0;0;0;-10.9;83.1
0;0;0;0;0;-11.7;83.1
0;0;0;0;0;-12.5;82
0;0;0;0;0;-12.9;83.3
0;0;0;0;0;-13.4;87.2
0;0;0;0;0;-13.8;87
0;0;0;0;0;-14.1;92.4
0;0;0;0;0;-14.2;90.8
22;13;13;14;14;-13.8;88.9
90;107;120;50;50;-12.8;87.8
111;77;89;65;65;-12.1;89.4
143;96;150;82;82;-11.4;91.8
287;116;628;145;116;-9.9;86
298;107;759;319;107;-8.8;81.3
207;82;548;373;82;-8.5;76
148;66;466;463;66;-8.6;77.6
10;6;4;3;6;-9.8;85.5
0;0;0;0;0;-10;85.9
0;0;0;0;0;-10.3;89.9
0;0;0;0;0;-10.6;90.7
0;0;0;0;0;-10.8;92.4
0;0;0;0;0;-11.1;94.7
0;0;0;0;0;-11.3;96.5
0;0;0;0;0;-11.6;96.8
0;0;0;0;0;-11.4;92.8
0;0;0;0;0;-11.1;92.8
0;0;0;0;0;-10.9;92.8
0;0;0;0;0;-10.8;91.3
0;0;0;0;0;-10.6;94.4
0;0;0;0;0;-10.5;99
0;0;0;0;0;-10.4;99
0;0;0;0;0;-10.4;99
8;1;2;6;6;-10.1;98.2
26;16;15;19;19;-9.5;98.2
40;28;26;30;30;-8.9;98.2
50;36;34;37;37;-8.4;98.2
49;37;33;36;37;-8.1;98.2
41;31;27;30;31;-8;98.2
30;23;19;20;23;-8;96.1
16;12;8;8;12;-8.3;97.3
2;1;0;0;1;-8.4;93.2
0;0;0;0;0;-8.6;97.5
0;0;0;0;0;-8.9;97.9
0;0;0;0;0;-9.6;99.3
0;0;0;0;0;-8.7;96.1
0;0;0;0;0;-8.4;94.6
0;0;0;0;0;-8.2;94.6
0;0;0;0;0;-8.2;93.2
0;0;0;0;0;-8.2;98.2
0;0;0;0;0;-8.3;98
0;0;0;0;0;-8.3;98.9
0;0;0;0;0;-8.4;98.9
0;0;0;0;0;-8.5;98.2
0;0;0;0;0;-8.4;98.9
0;0;0;0;0;-8.4;98.9
0;0;0;0;0;-8.4;98.9
5;0;1;4;4;-8.2;98.6
24;15;14;18;18;-7.8;94.4
47;34;32;35;35;-7.2;90.9
60;45;43;45;45;-6.7;89
57;43;40;43;43;-6.3;88.4
262;142;604;292;142;-4.3;76.8
201;102;583;402;102;-3.3;71.9
101;58;340;339;58;-3.1;73.2
4;3;1;0;3;-3.9;74.8
0;0;0;0;0;-4;77.2
0;0;0;0;0;-4.1;77
0;0;0;0;0;-4.2;76.4
0;0;0;0;0;-4.3;79
0;0;0;0;0;-4.4;79
0;0;0;0;0;-4.4;81.4
0;0;0;0;0;-4.5;86.3
0;0;0;0;0;-4.7;83.3
0;0;0;0;0;-4.9;83.8
0;0;0;0;0;-5;87.9
0;0;0;0;0;-5.1;86.6
0;0;0;0;0;-5.2;86.1
0;0;0;0;0;-5.2;89.7
0;0;0;0;0;-5.2;91
0;0;0;0;0;-5.2;90.6
5;0;1;4;4;-5;88.3
20;12;11;15;15;-4.7;82.1
31;21;19;23;23;-4.6;91
46;33;30;34;34;-4;88
44;32;29;32;32;-3.7;88
260;136;557;272;136;-1.7;87.8
191;97;505;352;97;-0.7;71.3
103;58;335;334;58;-0.5;69
5;4;1;0;4;-1.2;70.8
0;0;0;0;0;-1.4;74.3
0;0;0;0;0;-1.7;74.9
0;0;0;0;0;-1.9;78.7
0;0;0;0;0;-2.2;75.8
0;0;0;0;0;-2.4;78.8
0;0;0;0;0;-2.6;81.2
0;0;0;0;0;-2.9;78.8
0;0;0;0;0;-3.2;81.2
0;0;0;0;0;-3.6;83.7
0;0;0;0;0;-3.9;84.8
0;0;0;0;0;-4.1;84.6
0;0;0;0;0;-4.2;83.6
0;0;0;0;0;-4.3;85
0;0;0;0;0;-4.4;90.1
0;0;0;0;0;-4.4;87.1
42;172;139;25;25;-3.3;82.6
115;179;200;69;69;-1.6;78.7
181;201;298;103;103;0.2;76.2
237;185;388;130;130;1.8;73.1
243;134;388;147;134;3;68.2
221;121;367;201;121;3.6;66.8
144;85;206;160;85;3.6;64.5
69;44;88;88;44;2.8;66.9
2;2;0;0;2;1.6;67.8
0;0;0;0;0;1.1;70.2
0;0;0;0;0;0.5;74
0;0;0;0;0;0;79.9
0;0;0;0;0;-0.5;80.8
0;0;0;0;0;-1;81.3
0;0;0;0;0;-1.6;84.5
0;0;0;0;0;-2.1;90.7
0;0;0;0;0;-3;96.8
0;0;0;0;0;-3.4;98
0;0;0;0;0;-4;98.9
0;0;0;0;0;-4.3;98.9
0;0;0;0;0;-4.6;98.9
0;0;0;0;0;-4.8;98.9
0;0;0;0;0;-5.1;98.9
0;0;0;0;0;-5.1;98.9
29;26;25;22;22;-4.5;98.9
65;53;54;49;49;-3.9;97.7
102;82;89;76;76;-3.2;93.7
143;111;136;104;104;-2.5;87.9
133;98;118;99;98;-2;82.5
113;84;97;88;84;-1.9;87.8
65;49;50;49;49;-2;82.3
34;26;23;23;26;-2.4;81.5
2;2;1;0;2;-3;80.1
0;0;0;0;0;-3.5;81.7
0;0;0;0;0;-4;85.2
0;0;0;0;0;-4.6;86.9
0;0;0;0;0;-5.1;85.3
0;0;0;0;0;-5.6;89.1
0;0;0;0;0;-6.2;91.6
0;0;0;0;0;-6.7;93.9
0;0;0;0;0;-7.2;97.1
0;0;0;0;0;-7.6;98.4
0;0;0;0;0;-8;97.2
0;0;0;0;0;-8.2;99.5
0;0;0;0;0;-8.3;98.8
0;0;0;0;0;-8.4;98.8
0;0;0;0;0;-8.6;97.4
0;0;0;0;0;-8.5;97.2
58;353;278;32;32;-6.9;90.5
174;437;500;83;83;-4.3;83
226;329;545;106;106;-2.3;73.6
278;238;630;128;128;-0.6;65
305;141;673;167;141;0.9;58.7
221;125;358;200;125;1.3;56.2
167;96;288;216;96;1.2;60.6
82;51;123;123;51;0.2;62.6
3;2;0;0;2;-1.2;71.9
0;0;0;0;0;-2.1;73.2
0;0;0;0;0;-3;79.7
0;0;0;0;0;-3.9;79.4
0;0;0;0;0;-4.8;81.9
0;0;0;0;0;-5.7;82.6
0;0;0;0;0;-6.6;82.5
0;0;0;0;0;-7.5;86.2
0;0;0;0;0;-8.6;92.9
0;0;0;0;0;-9.8;97.2
0;0;0;0;0;-11;100
0;0;0;0;0;-11.7;100
0;0;0;0;0;-12.4;100
0;0;0;0;0;-12.8;100
0;0;0;0;0;-13.3;100
0;0;0;0;0;-13.5;99.2
56;309;243;31;31;-12.4;98.2
158;386;439;69;69;-10.8;93.3
283;437;759;101;101;-8.7;85.8
348;285;871;120;120;-7;75.1
307;129;658;155;129;-6.2;73.2
296;110;736;311;110;-5.7;73.1
224;88;608;414;88;-5.7;72.1
113;53;341;342;53;-6.6;74.9
7;5;2;0;5;-8.1;73.8
0;0;0;0;0;-8.8;75.8
0;0;0;0;0;-9.6;75.7
0;0;0;0;0;-10.3;76.5
0;0;0;0;0;-11.1;77.9
0;0;0;0;0;-11.9;81.2
0;0;0;0;0;-12.6;85.1
0;0;0;0;0;-13.4;90.3
0;0;0;0;0;-13.5;93.6
0;0;0;0;0;-13.7;92.2
0;0;0;0;0;-13.8;92.6
0;0;0;0;0;-13.9;94
0;0;0;0;0;-14;95
0;0;0;0;0;-14;95.6
0;0;0;0;0;-14;96.8
0;0;0;0;0;-14;98
62;361;280;31;31;-12.1;92
177;486;555;65;65;-9.2;81.6
265;400;689;95;95;-6.4;71.9
323;261;785;111;111;-4.1;64.9
367;120;890;157;120;-2.1;60.4
349;108;896;361;108;-0.8;59
269;88;761;510;88;-0.4;60.7
152;56;543;546;56;-1.2;63.7
12;7;5;3;7;-3.2;73.4
0;0;0;0;0;-3.7;77.4
0;0;0;0;0;-4.2;76.4
0;0;0;0;0;-4.8;81.4
0;0;0;0;0;-5.3;85.4
0;0;0;0;0;-5.8;90
0;0;0;0;0;-6.3;91.6
0;0;0;0;0;-6.8;94.6
0;0;0;0;0;-7.5;96.2
0;0;0;0;0;-8.2;96.2
0;0;0;0;0;-8.9;99.9
0;0;0;0;0;-9.3;100
0;0;0;0;0;-9.6;99.2
0;0;0;0;0;-9.9;100
0;0;0;0;0;-10.1;100
0;0;0;0;0;-10.1;99.4
51;232;181;28;28;-8.8;94.8
140;309;347;66;66;-6.7;88
198;216;326;98;98;-4.9;81.6
311;245;676;121;121;-2.6;73.5
357;116;855;150;116;-0.7;67.8
320;109;783;326;109;0.4;62.1
278;93;756;510;93;0.9;56.2
165;60;576;580;60;0.5;60.2
15;10;7;6;10;-1.3;72
0;0;0;0;0;-1.9;74.7
0;0;0;0;0;-2.6;80
0;0;0;0;0;-3.2;82.4
0;0;0;0;0;-3.9;82.8
0;0;0;0;0;-4.5;85.5
0;0;0;0;0;-5.2;88.3
0;0;0;0;0;-5.8;93.3
0;0;0;0;0;-6.4;90
0;0;0;0;0;-7;97
0;0;0;0;0;-7.5;99.4
0;0;0;0;0;-7.8;97.8
0;0;0;0;0;-8.1;98.3
0;0;0;0;0;-8.3;98.9
0;0;0;0;0;-8.5;98.4
0;0;0;0;0;-8.5;96
75;421;323;36;36;-6.5;88.6
186;494;558;68;68;-3.8;75.2
288;436;752;94;94;-1.1;66.4
362;286;893;108;108;1.4;58.3
365;112;882;147;112;3.1;51.7
326;107;799;330;107;3.9;49.7
235;87;610;416;87;4;52
152;64;441;445;64;3.1;52.9
14;9;6;4;9;1.2;63.2
0;0;0;0;0;0.5;73.1
0;0;0;0;0;-0.1;70.7
0;0;0;0;0;-0.7;74.1
0;0;0;0;0;-1.4;80
0;0;0;0;0;-2;80.2
0;0;0;0;0;-2.6;81.6
0;0;0;0;0;-3.3;84.7
0;0;0;0;0;-3.8;87.1
0;0;0;0;0;-4.4;90.8
0;0;0;0;0;-5.1;92.7
0;0;0;0;0;-5.4;96.9
0;0;0;0;0;-5.7;100
0;0;0;0;0;-5.9;100
0;0;0;0;0;-6.1;100
1;0;0;1;1;-6.1;100
77;387;296;39;39;-4.3;100
203;466;520;85;85;-1.6;94.2
158;141;191;87;87;-0.9;89.9
234;170;348;117;117;0.3;85.3
