Roof tilt: 15° (Vienna);Azi80Tilt27Wp460;Gesamtquartier;Azi-100Tilt15Wp460;BICHL_100 kWp 90%;V1oPBlend_ges;Var_Planstand_Pilzgasse
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.005999999999999999;0.001;2.7540182673513014;0.001;0.5066999999999999;0.44;13.969
0.018333333333333333;0.018;51.844244633258704;0.019;2.6361;5.79;5.711
0.028666666666666663;0.064;264.62102791654587;0.091;6.2532000000000005;38.42;47.275
0.03366666666666667;0.086;274.87780571724545;0.088;9.922500000000001;38.65;105.713
0.030333333333333334;0.162;442.4214395563464;0.107;12.4191;68.42;92.754
0.026333333333333334;0.209;461.6576488563369;0.073;11.4327;75.93;113.814
0.016;0.193;351.3883003522452;0.029;8.1324;61.53;84.27
0.005999999999999999;0.123;195.22241292375884;0.01;3.5028;35.31;38.948
0;0;0;0;0.2997;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.08033333333333333;0.003;8.262054802053903;0.003;0.8721;0.94;22.653
0.13033333333333333;0.009;24.78616440616171;0.009;5.4351;2.69;66.292
0.18733333333333335;0.008;22.03214613881041;0.008;9.614700000000001;2.36;118.862
0.20833333333333334;0.015;43.19650787407198;0.016;12.385800000000001;4.78;114.457
0.20299999999999999;0.015;41.31027401026952;0.015;12.838500000000002;4.54;36.947
0.105;0.171;391.8486999145111;0.078;15.957900000000002;61.21;30.363
0.044000000000000004;0.167;307.7095613565607;0.028;14.817599999999999;53.65;63.109
0.0029999999999999996;0.111;178.41501183698315;0.011;9.7209;31.74;20.738
0;0;0;0;0.792;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.010333333333333333;0.002;5.508036534702603;0.002;0.5859000000000001;0.54;21.191
0.028999999999999998;0.005;13.770091336756508;0.005;2.7621;1.59;94.983
0.044000000000000004;0.008;22.03214613881041;0.008;11.713500000000002;2.48;75.453
0.04766666666666666;0.009;26.672398269964177;0.01;25.470000000000002;2.94;36.693
0.052;0.009;26.672398269964177;0.01;34.857;2.94;10.838
0.042333333333333334;0.152;351.9966732138531;0.074;35.829;54.36;42.037
0.027333333333333334;0.134;253.30998074450235;0.029;28.2528;43.27;64.59
0.009666666666666667;0.078;129.17399173917448;0.01;14.801400000000001;22.74;41.218
0;0;0;0;0.9414;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.008333333333333333;0.011;31.354826322979555;0.012;0.9378000000000001;3.61;19.602
0.020666666666666667;0.029;90.2619039650321;0.034;5.6142;10.68;90.475
0.03;0.043;129.3123307999263;0.048;15.241499999999998;15.31;97.998
0.03333333333333333;0.086;274.5764756038359;0.089;26.9676;38.13;121.858
0.033999999999999996;0.103;282.8988736336896;0.081;34.4862;40.21;115.341
0.028999999999999998;0.216;489.61959074846607;0.092;31.8024;76.7;144.61
0.019;0.201;369.9071329549987;0.034;22.3578;63.69;104.146
0.007333333333333333;0.137;219.70127723132921;0.013;10.210500000000001;38.8;56.249
0;0;0;0;0.8559;0;0.278
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.009;0.011;148.0541116575478;0.062;0.5832;22.33;3.266
0.025666666666666667;0.03;304.8526379139586;0.115;2.745;48.3;6.157
0.037333333333333336;0.075;389.37771577943465;0.129;6.5538;61.52;12.689
0.044000000000000004;0.125;438.5464526790801;0.126;10.316699999999999;68.8;15.383
0.04666666666666667;0.168;460.6992852734901;0.108;12.9285;72.73;17.652
0.036333333333333336;0.194;432.58667832465613;0.074;11.9691;70.75;143.835
0.023999999999999997;0.152;286.66562872650576;0.032;8.6922;49.25;121.443
0.009;0.069;116.09688245814208;0.01;3.9581999999999997;20.27;63.975
0;0;0;0;0.4365;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.10866666666666668;0.011;154.42993259579924;0.065;1.7919;23.26;15.215
0.18300000000000002;0.029;325.4083694372192;0.123;13.202100000000002;51.74;29.729
0.226;0.084;459.4817674990954;0.152;31.819499999999998;72.67;65.184
0.215;0.151;535.3711772509448;0.151;44.2953;83.74;94.858
0.24066666666666667;0.193;527.386443946377;0.121;47.740500000000004;82.66;127.409
0.19166666666666665;0.201;445.71803217311003;0.074;43.311600000000006;72.84;123.554
0.15866666666666665;0.172;319.93692486478596;0.032;33.4305;54.97;126.975
0.09733333333333333;0.105;172.2500705080398;0.013;18.791999999999998;30.28;77.259
0;0;0;0;1.2348000000000001;0;0.275
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0.009;0.004;12.902306933207669;0.005;1.8441;1.4;7.969
0.051666666666666666;0.008;22.03214613881041;0.008;17.3673;2.42;8.403
0.20299999999999999;0.015;42.08163792453515;0.016;37.505700000000004;4.8;33.61
0.13166666666666668;0.042;118.18776859567791;0.044;46.254599999999996;13.57;49.809
0.08700000000000001;0.046;127.08259090085262;0.046;49.6413;14.69;61.338
0.13266666666666668;0.047;127.48034150354542;0.045;44.7363;15.09;74.934
