Icon	Name	Einheit	Kommentar	Type	var_name	REF	ka	STAGE	Default Var	Neues Projekt	Test_PG2	Test_AB	Test_RU	TESTWuerfel	Alliiertenviertel Bestand	Pgteilgeühlt	Beispielquartier ohne Kühlung	Test	Spalte2	Spalte3	Spalte4	Kurze ID	Kurze ID_2	Kurze ID_2_2	Kurze ID_2_2_2_2	test_2
🔥	Maximale Wärmeleistung Raumseitig (Wtherm/m²)			Alt		Heizung	0	60,0	30	60,0	23,7	9,8	60,0	30	90,00	23,73	23,73	60,0				60	60	60	60	60
🔥	JAZ Wärme pumpe Wohnen			Alt		Heizung	0	5,0	4	5,0	4,6	2,9	5,0	4	4,50	4,61	4,61	5,0				5	5	5	5	5
🔥	JAZ Wärme pumpe Büro & Gewerbe			Alt		Heizung	0	5,0	4	5,0	4,6	2,9	5,0	4	4,50	4,61	4,61	5,0				5	5	5	5	5
🔥	JAZ Wärme pumpe Handel			Alt		Heizung	0	5,0	4	5,0	4,6	2,9	5,0	4	4,50	4,61	4,61	5,0				5	5	5	5	5
🔥	JAZ Wärme pumpe Bildung			Alt		Heizung	0	5,0	4	5,0	4,6	2,9	5,0	4	4,50	4,61	4,61	5,0				5	5	5	5	5
🔥	Flächengewichtete JAZ			Zwischenrechnung		Heizung	0	5,0	4	5,0	4,6	2,9	5,0	4	4,50	4,60	4,61	5,0				5	5	5	5	5
🔥	Wirkungs-grad Fern-wärme			Alt		Heizung	0	1,0	0,95	1,0	1,0	1,0	1,0	0,95	0,80	0,95	0,95	1,0				0,95	0,95	0,95	0,95	0,95
🔥	Wirkungs-grad Erdgas			Alt		Heizung	0	1,0	0,95	1,0	1,0	1,0	1,0	0,95	0,80	0,95	0,95	1,0				0,95	0,95	0,95	0,95	0,95
❄️	Kühlung Raumtemp.Minimum (°C)			Alt		Kühlung	0	25,0	26	25,0	25,0	25,0	25,0	26	26,00	25,00	25,00	25,0				25	25	25	25	25
❄️	Kühlung Raumtemp.Maximum (°C)			Alt		Kühlung	0	23,0	23	23,0	23,0	23,0	23,0	23	26,00	23,00	23,00	23,0				23	23	23	23	23
❄️	Wirkungsgrad Verteilungsverluste			Alt		Kühlung	0	1,0	0,95	1,0	1,0	1,0	1,0	0,95	0,85	0,95	0,95	1,0				0,95	0,95	0,95	0,95	0,95
❄️	Maximale Kühlleistung (Wtherm/m²)			Alt		Kühlung	0	50,0	40	50,0	25,3	10,0	50,0	40	50,00	25,33	25,33	50,0				50	50	50	50	50
❄️				Obsolet			0	0,0	4,84	0,0	4,8	3,0		4,84		4,84	0,00	0,0				0	0	0	0	0
❄️	JAZ Wärme pumpe Wohnen			Alt		Kühlung	0	7,5	6	7,5	5,4	5,0	7,5	6	5,00	5,40	5,40	7,5				7,5	7,5	7,5	7,5	7,5
❄️	JAZ Wärme pumpe Büro & Gewerbe			Alt		Kühlung	0	7,5	6	7,5	5,4	5,0	7,5	6	5,00	5,40	5,40	7,5				7,5	7,5	7,5	7,5	7,5
❄️	JAZ Wärme pumpe Handel			Alt		Kühlung	0	7,5	6	7,5	5,4	5,0	7,5	6	5,00	5,40	5,40	7,5				7,5	7,5	7,5	7,5	7,5
❄️	JAZ Wärme pumpe Bildung			Alt		Kühlung	0	7,5	6	7,5	5,4	5,0	7,5	6	5,00	5,40	5,40	7,5				7,5	7,5	7,5	7,5	7,5
❄️	Flächengewichtete JAZ			Zwischenrechnung		Kühlung	0	7,5	6	7,5		5,0	7,5	6	5,00	0,00	5,40	7,5				7,5	7,5	7,5	7,5	7,5
💧	Temperatur Minimum (°C)			Alt		Warm wasser	0	60,0	60	60,0	60,0	60,0	60,0	60	60,00	60,00	60,00	60,0				60	60	60	60	60
💧	Temperatur Maximum (°C)			Alt		Warm wasser	0	70,0	70	70,0	70,0	70,0	70,0	70	70,00	70,00	70,00	70,0				70	70	70	70	70
💧	Wirkungsgrad (Verteilungsverluste)			Alt		Warm wasser	0	1,0	0,95	1,0	1,00	1,00	1,00	0,95	1,00	1,00	1,00	1,0				1	1	1	1	1
💧	Speicher Verluste (W)			Zwischenrechnung		Warm wasser	0	0,0		0,0		100,0				0,00	184,23	0,0				0	0	0	0	0
💧	Warmwasserspeicher (l/Person*Tag)			Alt		Warm wasser	0	50,0	50	50,0	9,8	470,0	50,0	50	50,00	9,84	9,84	50,0				50	50	50	50	50
💧	Leistung Wärme pumpe (W/m²)			Alt		Warm wasser	0	15,9	20	15,9	14,8	9,5	15,9	20	15,95	14,76	14,76	15,9				15,94810612	15,94810612	15,94810612	15,94810612	15,94810612
💧	Wirkungs grad Aufheizen			Alt		Warm wasser	0	0,7	0,8	0,7	0,8	1,0	0,7	0,8	0,70	0,80	0,80	0,7				0,7	0,7	0,7	0,7	0,7
💧	JAZ Wärme pumpe Wohnen			Alt		Warm wasser	0	3,0	2,3	3,0	2,3	5,0	3,0	2,3	3,00	2,30	2,30	3,0				3	3	3	3	3
💧	JAZ Wärme pumpe Büro & Gewerbe			Alt		Warm wasser	0	3,0	2,3	3,0	1,0	5,0	3,0	2,3	3,00	0,95	0,95	3,0				3	3	3	3	3
💧	JAZ Wärmepumpe Handel			Alt		Warm wasser	0	3,0	2,3	3,0	1,0	5,0	3,0	2,3	3,00	0,95	0,95	3,0				3	3	3	3	3
💧	JAZ Wärmepumpe Bildung			Alt		Warm wasser	0	3,0	2,3	3,0	2,3	5,0	3,0	2,3	3,00	2,30	2,30	3,0				3	3	3	3	3
💧	Flächengewichtete JAZ (Berechnung)			Zwischenrechnung		Warm wasser	0	3,0		3,0		4,0	3,0			0,00	1,69	3,0				3	3	3	3	3
⚡	Hilfsstromanteil Wärme pumpen			Alt		Hilfsstrom	0	0,0	0,02	0,0	0,0	0,0	0,0	0,02	0,02	0,02	0,02	0,0				0,02	0,02	0,02	0,02	0,02
⚡	Hilfsstrom anteil Gasheizung/Fernwärme (bezogen auf Heizenergie inkl verteil)			Alt		Hilfsstrom	0	0,0	0,02	0,0	0,0	0,0	0,0	0,02	0,02	0,02	0,02	0,0				0,02	0,02	0,02	0,02	0,02
🤸‍♂️	Freigabesignal			Alt		Netzdienlichkeit	0	0,5	0,5	0,5	0,5	0,5	0,5	0,5	0,50	0,50	0,50	0,5				0,5	0,5	0,5	0,5	0,5
🤸‍♂️	Maximale Ladeleistung (W/m²)			Alt		Netzdienlichkeit	0	40,0	50	40,0	58,5	50,0	40,0	50	40,00	58,50	58,50	40,0				40	40	40	40	40
💨	Anteil Lüftungsstrom wenn ohne Wärmerückgewinnung			Alt		Lüftung	0	1,0	0	1,0	0,0	1,0	1,0	0	1,00	0,00	1,00	1,0				1	1	1	1	1
💨	Wirkungsgrad Wärmerückgewinnung			Abgelöst in Klimaaktiv		Lüftung	0	0,0	0	0,0	0,0	0,0	0,0	0	0,00	0,00	0,00	0,0				0	0	0	0	0
💨	Wirkungsgrad Kälterückgewinnung			Alt		Lüftung	0	0,0	0	0,0	0,0	0,0	0,0	0	0,00	0,00	0,00	0,0				0	0	0	0	0
💨	Wirkungsgrad Übergangszeit			Alt		Lüftung	0	0,5	0	0,5	0,5	0,4	0,5	0	0,50	0,50	0,50	0,5				0,5	0,5	0,5	0,5	0,5
💧	Epatrone Temperatur Maximum (°C)			Alt		Warm wasser	0	90,0	90	90,0	90,0	70,0	90,0	90	90,00	90,00	90,00	90,0				90	90	90	90	90
💧	Epatrone Wirkungsgrad			Alt		Warm wasser	0	0,9	0,9	0,9	0,9	0,9	0,9	0,9	0,90	0,90	0,90	0,9				0,9	0,9	0,9	0,9	0,9
💧	Epatrone Anschlussleistung [W/l]			Alt		Warm wasser	0	1,6		1,6		3,2	1,6		1,55	0,00	0,00	1,6				1,551851852	1,551851852	1,551851852	1,551851852	1,551851852
🔌🚗	Anzahl Fahrzeuge			Alt		ECars	0	0,0	60	0,0	60,0	30,5		60	5232,05	60,00	60,00	0,0				0	0	0	0	0
🔌🚗	Batterie-kapazität je Fahrzeug (Wh)			Alt		ECars	0	41 000,0	41000	41 000,0	41000,0	41000,0	41000,0	41000	41000,00	41000,00	41000,00	41 000,0				41000	41000	41000	41000	41000
🔌🚗	Verluste Batterie (2%/Wo)			Alt		ECars	0	0,0	0,000119048	0,0	0,0	0,0	0,0	0,000119048	0,00	0,00	0,00	0,0				0,000119048	0,000119048	0,000119048	0,000119048	0,000119048
🔌🚗	Jahresver brauch Emob  (Wh)			Zwischenrechnung		ECars	0	-		-		22857405,9	-			0,00	0,00	-				-	-	-	-	-
🔌🚗	Speicher Spezifisch (Wh/m²)			Zwischenrechnung		ECars	0	-		-		132,0	-		0,00	0,00	91,77	-				-	-	-	-	-
🔌🚗	Anteil der Fahrzeuge die der Ladekurve (Spitzenladungszeiten) folgen					ECars	0	0,0	0,7	0,0	0,7	0,4	0,0	0,7	0,00	0,70	0,70	0,0				0	0	0	0	0
🔌🚗	Konstantes Laden von Fahrzeugen die nicht der Ladekurve folgen (W/m²)			Zwischenrechnung		ECars	0	0,0		0,0		0,4	0,0		0,00	0,00	0,00	0,0				0	0	0	0	0
🔌🚗	Maximale Ladeleistung (ein 11kW Ladeanschluss je Fahrzeug) (W/m²)			Zwischenrechnung		ECars	0	-		-		35,4	-		0,00	0,00	24,62	-				-	-	-	-	-
🔌🚗	Minimaler Ladezustand der erreicht werden soll			Alt		ECars	0	0,5	0,5	0,5	0,5	0,5	0,5	0,5	0,50	0,50	0,50	0,5				0,5	0,5	0,5	0,5	0,5
🔌🚗	Wirkungs grad Ladung			Alt		ECars	0	0,9	0,9	0,9	0,9	0,9	0,9	0,9	0,90	0,90	0,90	0,9				0,9	0,9	0,9	0,9	0,9
🔌🚗	Anteil Elektroautos			Alt		ECars	0	0,7	0,7	0,7	0,7	0,5	0,7	0,7	0,70	0,70	0,70	0,7				0,7	0,7	0,7	0,7	0,7
🔌🚗	Energieverbrauch (kWh/km)			Alt		ECars	0	0,2	0,17	0,2	0,2	0,2	0,2	0,17	0,17	0,17	0,17	0,2				0,17	0,17	0,17	0,17	0,17
🔌🚗	Variation km-Leistung Wohnen			Alt		ECars	0	1,0	1	1,0	1,0	1,0	1,0	1	1,00	1,00	1,00	1,0				1	1	1	1	1
🔌🚗	Variation km-Leistung Büro			Alt		ECars	0	1,0	1	1,0	1,0	1,0	1,0	1	1,00	1,00	1,00	1,0				1	1	1	1	1
🔌🚗	Variation km-Leistung Ausbildung			Alt		ECars	0	1,0	1	1,0	1,0	1,0	1,0	1	1,00	1,00	1,00	1,0				1	1	1	1	1
🔌🚗	Variation km-Leistung Handel			Alt		ECars	0	1,0	1	1,0	1,0	1,0	1,0	1	1,00	1,00	1,00	1,0				1	1	1	1	1
🔋	kWh			Obsolet		Batterie	0	0,0		0,0	1,0	0,0				1,00	0,00	0,0				0	0	0	0	0
🔋	Kapazität Batterie (Wh/m²)			Alt		Batterie	0	1 003,0	180	1 003,0	180,0	18,0	1003,0	180	67202,68	180,00	180,00	1 003,0				1003,02513	1003,02513	1003,02513	1003,02513	1003,02513
🔋	Verluste Batterie (2%/Wo)			Alt		Batterie	0	0,0	0,000119048	0,0	0,0	0,0	0,0	0,000119048	0,00	0,00	0,00	0,0				0,000119048	0,000119048	0,000119048	0,000119048	0,000119048
🔋	Maximale Lade-/ Entladeleistung (W/m²)			Alt		Batterie	0	501,5	1,2	501,5	1,2	27,8	501,5	1,2	501,51	1,20	1,20	501,5				501,5125649	501,5125649	501,5125649	501,5125649	501,5125649
